"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC01202",0.0651710188893146,0.0447771968601549,3.08884497883839,0.00239342641418701,0.0118009729306736,-3.3688796257211
"AC079089.1",0.0651055245796631,0.0753022432580629,2.76005826759155,0.00649735236866751,0.0276362566610846,-4.28358926807081
"AL023806.4",0.0647088015395218,0.0861327674978246,3.35441578954508,0.00100642564760637,0.0056148307279877,-2.56416311058624
"LINC01971",0.0646131365911404,0.0512014352656993,2.74114755366386,0.00686410263883111,0.0289367345892222,-4.3333896995941
"YEATS2-AS1",0.0644935924943687,0.144212538870452,3.87505979196686,0.00015866296893453,0.00112026275263603,-0.823612811503208
"AC027601.1",0.0644854898101893,0.177350050493348,3.95173413777436,0.000118939022632181,0.000872633020459141,-0.5497730985679
"AC018953.2",0.0643629470381584,0.0444735191010249,2.67841611115172,0.00821914457625438,0.0335482588820905,-4.49636729336823
"BMS1P4",0.0642098115272574,0.224141485660534,2.55573857775985,0.0115872579660583,0.0446510132351053,-4.80514400454509
"AL356124.2",0.0640916431915089,0.0762269474692529,2.60667478244887,0.0100617347739099,0.0398083446105336,-4.67854340599645
"AL596223.1",0.0640724668922677,0.0640725916565572,3.93665451262095,0.000125914678683467,0.000917828845222063,-0.603974517871658
"LNCOC1",0.0639316497134503,0.144949768122599,2.63190341025853,0.00937518917991825,0.0374963145546979,-4.61499313667904
"AL354977.1",0.0639070612666265,0.0786648351862266,3.03582267779686,0.00282740159138628,0.0136338742261591,-3.52257208849514
"AC114291.1",0.0636319554847671,0.0427095867618927,2.9733577147416,0.00343126504976989,0.0160283941810225,-3.70061140757831
"PP7080",0.063580842608432,0.120821129525071,3.85158320004755,0.000173158362830197,0.00120995839457756,-0.906581346502783
"AC012485.3",0.0632595667449577,0.0712527372114908,4.6338978466921,7.71387125455696e-06,7.74230526274855e-05,2.07193714011817
"AL450468.2",0.0630796183191662,0.0610719001240064,3.81766519647258,0.00019633830188614,0.0013523391319632,-1.02571956278369
"AL110292.1",0.0628822449024452,0.0511234560944612,3.06441451572478,0.00258510822481185,0.0126059494659947,-3.43998644779168
"AC096637.2",0.0628550519620169,0.0621233674265478,4.64183322464741,7.45921771958864e-06,7.52249184839279e-05,2.10431421115126
"AC126773.3",0.0624710459228068,0.0822599585172284,2.83188796134299,0.00526089116817213,0.0230926585286224,-4.09161641935596
"LINC01090",0.0623980165769587,0.0474834348970097,2.71746564299932,0.00734983696165198,0.0306370240954589,-4.39531772380426
"DDN-AS1",0.0623708770150057,0.0984300182188114,2.99985208782244,0.003161949678879,0.0149607719951892,-3.62549733654576
"LINC01579",0.0622667393156839,0.0486772338547287,2.73536734185528,0.00697989422634978,0.0293558979395209,-4.34854979330777
"LINC02243",0.0622317456025245,0.0554621542827803,2.61623674690852,0.00979637440990073,0.0389043502206408,-4.65452281614065
"LINC00858",0.0621832633607825,0.0530361469187541,3.00597799301997,0.00310251530671031,0.0147332386520066,-3.60804565174331
"AC016590.1",0.0620591238059993,0.063525147003515,4.28815357723913,3.20507616485268e-05,0.000272318752359715,0.702435767198338
"AL009177.1",0.0615523964080809,0.0714595577164618,2.51933243939154,0.0128013920712099,0.0483042246191697,-4.89422654532493
"AC010528.1",0.0614602061640149,0.041252228665072,3.38431788217857,0.000909907110613484,0.00515471538301236,-2.46996179435929
"AL513164.1",0.0614193996910049,0.0470305379814977,2.85320701512318,0.0049376063980298,0.0218956320492617,-4.03378536271917
"NARF-AS1",0.0613418395046745,0.0824664417969779,3.1548929220238,0.00193903709000878,0.00985098530048996,-3.17415776132079
"AC009242.1",0.0612887609767098,0.0934362935046799,3.74795800814843,0.000253539361296714,0.00168248879615217,-1.2678379457755
"RCCD1-AS1",0.0611051758625933,0.150568926864734,3.42149068427821,0.000801991098708328,0.00462562819555654,-2.35185569358377
"AL591501.1",0.0610808555471804,0.0463447707582122,3.43850750479074,0.00075670149195069,0.00439443914245323,-2.29742119903825
"AL358473.1",0.060839715558325,0.0531360937275816,4.1086658299957,6.51261026955865e-05,0.000508654619442385,0.0242028586823846
"L29074.1",0.0605910923489639,0.0712149113153205,2.51549831085078,0.0129356575601567,0.0487672556790009,-4.90353998299987
"AL606534.1",0.0603381556516604,0.0878189178722788,2.82412779623714,0.00538328242478307,0.0235259057455832,-4.11257024517773
"UCKL1-AS1",0.0603259986532088,0.181936285779708,2.52675730173939,0.0125449210017648,0.0475490247758852,-4.87615383896433
"AC006974.2",0.0601700591217754,0.0676826892788562,3.02467731753372,0.00292739675293433,0.0140318886947863,-3.55457927116568
"SCAT1",0.0601484957157693,0.086717378079991,2.95447687265996,0.00363588809578095,0.0168814804271105,-3.75377884861147
"AC108681.1",0.0599362659147693,0.0472309338056419,3.32788784527667,0.00109998497701578,0.00606464610776629,-2.64713209246339
"AC011944.1",0.0598601778266742,0.0665484220394088,3.17975286979835,0.00178979151835897,0.00921196963809028,-3.09993092225757
"AC092954.2",0.0597864912287367,0.0518141677188399,2.70648273822957,0.00758550499070299,0.0313791951122391,-4.42387263442593
"LINC01511",0.0594105224639669,0.0553071355132212,2.74790599907412,0.00673092693700714,0.0284719390003895,-4.31562722030089
"AC097381.3",0.0593046916273016,0.0530458961396024,3.0310694875279,0.00286965520951828,0.0138021422356375,-3.53623501317347
"AC000072.1",0.0592472711009131,0.0956320502653182,3.11523556805098,0.00220118793523021,0.0109682570019352,-3.29150930186479
"AP005717.2",0.0591786420663829,0.0480457425770848,4.38671747828189,2.1520957137545e-05,0.000193094718220194,1.08452558250085
"LINC02539",0.059102326726779,0.046103396623195,2.5894840343595,0.0105551118452452,0.0414881020189592,-4.72152608615935
"AC008467.1",0.0587958673669132,0.203032173482478,2.50916200730487,0.0131603050355849,0.0493825893778048,-4.91890284105722
"LINC01630",0.0587943216066823,0.0464691691773077,3.51575349524911,0.00057966730557786,0.00348130325605316,-2.04743032180347
"AC009955.1",0.0586142471263294,0.0393424403634677,2.53219115140319,0.0123601459764929,0.046964659998909,-4.86289645875705
"AC007879.4",0.0585197785189426,0.0732253473544625,2.55112840970966,0.0117350756338877,0.0450970969386051,-4.81648951206116
"AC117395.1",0.0583949849729784,0.0673528508749008,3.46963886881458,0.000679991270349289,0.00400125919345999,-2.19723973996211
"AC092171.1",0.0582853487485077,0.107035623137245,2.60192996985792,0.0101957963578588,0.0402538433380199,-4.69043301227729
"LINC02886",0.0582727869991177,0.0615747048746866,2.84391789757444,0.00507616949438509,0.0224334799487458,-4.05903133506736
"AC009226.1",0.0580771388469096,0.127689965655651,2.83004373018956,0.00528974569274691,0.0232072470854868,-4.09660085363477
"AC092580.4",0.0580128945810943,0.0593581474087106,3.30228814669422,0.00119791875929742,0.00653839783202686,-2.72665872199966
"LINC00397",0.0578468211399204,0.0388274571357454,3.53116707458246,0.00054936194322916,0.00331793730553942,-1.99698308459651
"AC023824.3",0.0578076915219887,0.0388011991026599,2.92538888578805,0.0039731496661729,0.0182367353627871,-3.83509852417836
"AC051619.10",0.057787821699273,0.0775634386264339,3.03950505857231,0.00279506221309003,0.0135204126880762,-3.5119741614242
"AL117344.2",0.0577857123393677,0.100127284148531,4.67666640582586,6.43425563455352e-06,6.575248403301e-05,2.24692690893048
"AL451054.4",0.0575252002157902,0.0531855776952322,2.61945713761159,0.00970843141208538,0.0386005037915274,-4.64641480355879
"AC005379.1",0.0573258518591657,0.0474560481204294,2.81395971107908,0.00554758043022297,0.0241626039275088,-4.13994760415084
"AC010997.5",0.0570372104574805,0.0482892476600837,2.72090729993082,0.00727736386057877,0.0303874490957929,-4.38634804615498
"AC114956.2",0.0569827711102933,0.20147452707938,2.63138257571695,0.00938892496379249,0.0375245812591725,-4.616310751179
"AC087855.2",0.0568394453146826,0.0381514549372306,3.26997968248111,0.0013331365401344,0.00716295705619001,-2.8262677548275
"AC092650.1",0.0564063865681958,0.154397488243321,2.65589897425846,0.00876166539617531,0.0354455871598925,-4.55403117682894
"RRM1-AS1",0.0563729838707166,0.0476509970957801,2.89648212535171,0.00433651229542523,0.0196323412634402,-3.91519993566025
"LINC02613",0.0563496777803907,0.121062191631139,2.91242972846935,0.00413244993496287,0.0188195359595476,-3.87109656591124
"SLC25A34-AS1",0.0562117052288987,0.0738566472606056,2.65768115584627,0.0087175768129728,0.0352925975435508,-4.54948335126116
"AC243654.3",0.056121794968301,0.102454666174977,2.51226151407323,0.0130499833442219,0.0490777052388402,-4.91139229818248
"AL121906.1",0.0560329113662987,0.0421578521809491,3.50308706639136,0.000605740952331691,0.00361730412354567,-2.08874626165003
"AC010536.3",0.0560205599500325,0.0672670018207902,2.87667920941983,0.00460273615432036,0.0206548090795418,-3.96966367921308
"AL133325.3",0.0559317526794212,0.0399243997166384,3.07409925778934,0.00250748568829572,0.0122877716661272,-3.41185778531889
"AC007128.2",0.0555415285944369,0.0400102126613413,3.2047517943234,0.00165052373979712,0.00861113885514103,-3.02477591610506
"AL442636.1",0.0555238590909683,0.0680039517251302,3.07209953514062,0.00252333469891638,0.0123510978217183,-3.41767225448387
"LINC01416",0.0553176403984839,0.0458683111381566,3.64823230117416,0.000363350094655408,0.00230604372104233,-1.60777014377874
"AC009120.5",0.0553152363365295,0.0967045050241425,3.54615462172435,0.000521328656587209,0.0031704144021993,-1.94775105833726
"AL512328.1",0.055306240526255,0.0455408576810241,2.99168283031388,0.00324284019829939,0.0153006227578788,-3.64872104386018
"PLA2G4C-AS1",0.0552504481288613,0.0672212925438185,3.00208998171644,0.00314011686017355,0.0148783196276873,-3.61912560951897
"AC104365.2",0.0552393338824804,0.0633755939454941,2.92167829866869,0.00401817680010334,0.0184033805586936,-3.84542039679311
"AP000842.3",0.0551970386844411,0.0419743600023019,3.16198469710255,0.00189532597541225,0.00966965642698988,-3.15303511288652
"EDIL3-DT",0.0549325535876569,0.0573292252944931,2.58316418549415,0.0107418867538334,0.0420574926218372,-4.73726245691651
"LINC00485",0.0547426409519614,0.0495794852412304,3.81275187492006,0.000199930922740731,0.00137204627549147,-1.04290589002569
"AC126773.4",0.0547022766694376,0.0541074223778367,3.92427023472396,0.000131933050426515,0.000954281815467189,-0.648361878431631
"AC090049.1",0.0545611038238539,0.0366225678841748,2.79266068745025,0.00590663857234824,0.025489742428012,-4.19700657111344
"H2AZ1-DT",0.0545346874335545,0.0845804027411308,4.07629356433411,7.38418670559119e-05,0.000568963212979418,-0.0956677549528138
"AC010983.1",0.0544885625813615,0.0365738888925024,2.88051365393805,0.00455004838082085,0.020467337267524,-3.95914396105309
"SH3PXD2A-AS1",0.0544876756951125,0.116428109598336,2.52612604647709,0.0125665458468858,0.0475989290974032,-4.87769226497944
