"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change"
"GPSM3",-0.626822436993989,3.85065364260825,-4.49243129888053,9.13908565879856e-06,2.65754370910003e-05,2.39416357143482,"DOWN"
"SYBU",-0.834201876440309,3.93603880927192,-4.4911474386117,9.19178022200665e-06,2.67229015476184e-05,2.38866977732695,"DOWN"
"ABCG5",-0.925020965006055,4.5908943611169,-4.48863269635038,9.2958403392768e-06,2.70126935223944e-05,2.37791301702413,"DOWN"
"ANKS6",0.642598150453326,1.80840876463855,4.484679612249,9.46170597586245e-06,2.74616684078162e-05,2.36101482708787,"UP"
"SPAG4",0.71296387490988,2.48174617771199,4.48438249844106,9.47428643153753e-06,2.74840392093342e-05,2.3597453048975,"UP"
"FUOM",-0.694832212677506,7.127884314898,-4.48170236372422,9.58849640480874e-06,2.78058179375782e-05,2.34829694549724,"DOWN"
"HNMT",-0.514961186314007,5.7368251063297,-4.47610323632126,9.83136896323388e-06,2.84808413331417e-05,2.32439997282658,"DOWN"
"OXER1",-0.880968783864495,4.66015580452392,-4.47569939872738,9.8491123337326e-06,2.85273587468486e-05,2.32267744973182,"DOWN"
"PFN2",-0.902165881964437,2.68879039908362,-4.47459850192069,9.89763836609247e-06,2.865810040942e-05,2.31798241670754,"DOWN"
"PGC",1.87347774890402,1.75442804794357,4.47380813440966,9.9326179355527e-06,2.87544616060714e-05,2.31461235533764,"UP"
"JTB",0.577931179881471,4.51691509482743,4.47081420535394,1.00661990100525e-05,2.91112892580923e-05,2.30185139166071,"UP"
"NFE2L3",0.543822397108013,1.61920349337053,4.46791741467727,1.01970840012819e-05,2.94692871744304e-05,2.2895118414092,"UP"
"NAT14",0.656883248197095,2.88363486868835,4.46788194614555,1.01986966310185e-05,2.94692871744304e-05,2.28936079999079,"UP"
"RRAGD",0.667287976769731,3.71339514290354,4.46430895215292,1.03624067675119e-05,2.98963827643766e-05,2.27415091780718,"UP"
"SAR1B",-0.518734438649047,5.03926568140355,-4.45848626581936,1.06346045332154e-05,3.06451197729118e-05,2.24938799708541,"DOWN"
"PCOLCE",-1.05483323860326,4.54570175800931,-4.45437797040216,1.08307670265305e-05,3.11732282456069e-05,2.23193376132769,"DOWN"
"PLTP",-0.958412548978458,4.32427102276535,-4.45420080805104,1.08393036665285e-05,3.11924927451239e-05,2.23118140970566,"DOWN"
"MOCOS",-0.539280189025832,3.78432825281927,-4.45292763116392,1.09008421480633e-05,3.13535866033281e-05,2.22577543599113,"DOWN"
"TFR2",-0.982346275723879,8.20213413277921,-4.45210596468377,1.09407346536887e-05,3.1462359390793e-05,2.22228734390547,"DOWN"
"PKHD1",-0.595286076170108,0.811452314510008,-4.45091856060641,1.09986312163482e-05,3.16133580451551e-05,2.21724767656402,"DOWN"
"TMC8",-0.544080691357565,2.0186266798188,-4.44968525752062,1.10590765250842e-05,3.17816973303244e-05,2.21201449453353,"DOWN"
"DHX32",-0.526600340872109,3.05281184573761,-4.44903058431413,1.10912918483909e-05,3.18634549009547e-05,2.2092371045074,"DOWN"
"KDR",-0.661520781138071,3.35446066917264,-4.44130610680915,1.14782537386587e-05,3.28746668097232e-05,2.17649477397411,"DOWN"
"SSTR1",-0.935094123779885,2.23964007142566,-4.44027022317726,1.15311201279712e-05,3.3009318843749e-05,2.17210782803285,"DOWN"
"TINAG",1.16200269209292,1.07258579732379,4.43995117159547,1.15474498786101e-05,3.30504735108188e-05,2.17075683851075,"UP"
"H2AC11",0.864882504530788,1.66421336470082,4.43811555735415,1.16418318311189e-05,3.32924516502219e-05,2.16298584246041,"UP"
"SLC4A2",0.557132784294204,4.59587103906099,4.43724731086428,1.16867315576157e-05,3.34152052528584e-05,2.15931117503786,"UP"
"HPD",-1.96103277832561,8.59701701316688,-4.43489933629372,1.18089850121847e-05,3.37533505728339e-05,2.1493771493923,"DOWN"
"SLC16A13",-0.759895062827127,4.88679406088848,-4.43425848363172,1.1842564914027e-05,3.38436144080815e-05,2.1466666018399,"DOWN"
"UBE2E2",-0.569382710399977,3.44775674942801,-4.43387625006055,1.18626370157562e-05,3.38895291142343e-05,2.14505007801395,"DOWN"
"ST6GALNAC4",0.597042737157534,2.78970611861222,4.4292381308225,1.21088085664432e-05,3.45170400526928e-05,2.12544486573779,"UP"
"SLC16A1",-0.757286816936734,5.19566042272124,-4.42801398992565,1.21745923900481e-05,3.4688195424312e-05,2.12027356589753,"DOWN"
"CST2",0.605324760608648,0.732806645544242,4.42278181469392,1.24596411662079e-05,3.54514188958136e-05,2.09818525359239,"UP"
"STBD1",-0.537525101247581,2.65735945478589,-4.42234478984566,1.24837373498198e-05,3.55140080188806e-05,2.09634137106282,"DOWN"
"SMIM1",-0.731221072305725,2.90603145155163,-4.42176128280533,1.25159796844101e-05,3.55997465523456e-05,2.09387971355043,"DOWN"
"FCER1A",-0.65026757281676,1.35860274703362,-4.42106968066087,1.25542982157744e-05,3.5690739265645e-05,2.09096241490687,"DOWN"
"FUZ",-0.554112786842802,2.27074976836444,-4.41520460409046,1.28838026309722e-05,3.65476654348166e-05,2.06623918900758,"DOWN"
