"","RS","HLA-A","HLA-B","HLA-C","HLA-DPA1","HLA-DPB1","HLA-DQA1","HLA-DQB1","HLA-DQA2","HLA-DQB2","HLA-DRA","HLA-DRB1","MICA","MICB","ICAM1","ITGB2","SELP","BTN3A1","BTN3A2","CD274","CD276","PDCD1LG2","SLAMF7","VTCN1","CD28","CD80","ICOSLG","CCL5","CD40LG","CD70","CX3CL1","CXCL10","CXCL9","IFNG","IL10","IL12A","IL13","IL1A","IL1B","IL4","TGFB1","TNF","TNFSF4","TNFSF9","VEGFA","VEGFB","ARG1","ENTPD1","GZMA","HMGB1","IDO1","PRF1","ADORA2A","BTLA","CD27","CD40","CTLA4","EDNRB","HAVCR2","ICOS","IL2RA","KIR2DL1","KIR2DL3","LAG3","PDCD1","TIGIT","TLR4","TNFRSF14","TNFRSF18","TNFRSF4","TNFRSF9"
"TCGA-CC-A7IH",0.183333610624137,9.81392433152375,10.3017607029301,10.6773077365683,3.34310930278627,4.20319332407472,2.48843788492343,3.27118660159725,0.187894404790796,0.137634671883373,7.51598913664226,7.43673152738464,5.01923932399791,2.06053166042833,3.20486063230975,2.05637543234357,0.799916202989014,4.6774349499164,4.6529338617841,0.60255189747166,4.44824022521607,0.663390165451893,0.704429352076477,0.0708014676002111,0.743902679286311,0.0448836782397648,0.770363926508838,3.15081959821213,0.379842727491683,0,3.52123923003638,3.10351442488831,2.31234570088097,0.115965431586807,0.0623980637984785,0.419215260067954,0.0497701518163845,0.0357646536009747,0.472591745736933,0,3.03160692658546,0.446362111878595,1.13086499183649,0.488926267524134,5.24989658678023,2.93370481630644,5.81093660005849,1.40452169463979,1.87176481056067,6.21103556308631,0.26723614181241,2.02892271059601,1.25071908340055,0.0399805976908813,0.253142152564187,3.20262145553816,0.0337929888493031,2.91920658168132,0.937796340686552,0.0810668804918885,0.0183493098788918,0.0839281550623593,0.0890913185646892,0.972619139008153,0.100977647724821,0.169796756183249,1.37439963676144,3.94933882521742,0.355354620561066,1.49860830520237,0.163112244347124
"TCGA-DD-AACV",0.270966242926159,8.2830341641027,7.39189399835353,7.67938649722981,2.57075435513387,3.48665002302106,1.68544683504029,2.71001841751173,2.13589599082097,0.714487320570061,6.85069942693477,6.38771751815975,3.84606199750389,3.04954364582833,2.80764343221573,2.26068811951799,0.431676441392633,3.25637665893995,3.27801449328261,0.887057293754982,4.49237878273643,0.976436960173879,0.22391675051899,0,0.936289294648656,0.0710761620109589,0.120219211624994,2.66886796958067,0.233029057445185,0.145481822265525,3.86403753321931,5.33751486655071,1.04131308232863,0,0,0.0586628393785599,0,0.215243703712866,0.14782766837732,0.136191386287144,2.21865719295879,0,0.879313676310888,1.37250640898617,4.19927972133662,4.95170434703534,10.2303663527429,0.641638506574872,1.29225168225579,6.73148874987014,3.36214722762545,1.19478048882318,1.97247209777673,0,0.386148754734357,5.68571593599065,0.0536674490388253,3.43823961461754,1.11243325117974,0.0863761675969373,0.244034582393693,0.0676387168753633,0,1.74987747027361,0.158466295124796,0.180402506828649,1.98928435974767,4.39432892292489,0.328147114033631,2.4656872025051,0.0542233473371544
"TCGA-DD-A4NP",0.273650427753862,9.80632566869077,10.1791920416597,9.14470131912552,4.97146538190244,4.53918983647423,1.78751604813503,2.55259840180413,2.92886298202535,0.74217872013884,8.31863137964736,7.88856974982199,2.49955253583817,0.711054321812066,2.68759823850728,2.69124381007553,0.299010149498923,3.80046508504469,4.070835807262,0.458696968689715,3.47873888479012,0.348232419239271,0.308710351168077,0.0651586751285468,0.263395034517309,0.0912597661926783,0.0529722748139887,3.35495986378009,0.202887833470143,0.0325240656921994,3.0702862745651,1.74394575188154,1.00898878322725,0.0411027718191281,0.0289934118795487,0.0255958358826835,0,0.0247451901971378,0.217354813682437,0,2.96317815617389,0.297602298652008,0.388024175812457,0.174150712212013,3.63879210889124,2.63166308746278,6.9462103388075,1.11243325117974,2.16062981335779,4.90170200130233,0.299127408412377,1.9991702117645,0.341302652973009,0.0814759815979586,0.244887059123534,3.96184554917526,0,2.68144926531496,1.10648233046998,0.0564448010196681,0.15665548884686,0.114500293165193,0.121413330915865,0.848317469836102,0.093154487907083,0.186120183680639,1.24086382278575,4.30794576250071,0.220329954879556,0.857344078814203,0.972619139008153
"TCGA-DD-AAEE",0.289308601211828,9.71367021420165,9.02111156667208,9.55821328702834,3.92913766110681,4.99702136870765,2.1597906243086,2.5259185231065,4.39702939331339,2.12997534441929,8.14971460770081,6.73254056130812,3.041365655166,2.42500268344776,2.98110371846482,2.4463885811617,0.488720652895284,4.23477720271134,3.87693925674394,0.711847277669948,4.44046723283532,0.676808994347789,0.759411532564576,0.0229004021100788,0.331475926123189,0.0639170536923114,0.458382004156013,4.61669880275621,0.582844994776965,0.212382570122357,3.42238103082575,5.00992040959306,2.72386432362673,0.11116488907889,0,0.200253231593687,0,0.0343565966466416,0.584866317845632,0,3.20959372912887,0.157949153783694,0.921283979040922,1.06956469509336,4.20250392022462,4.16365168849225,8.33793315161116,1.35394427864875,2.7057567820498,4.79619279576066,0.15224833075742,1.65914821614934,0.637749339154312,0.0938305716351355,0.632826570034337,4.97677145565496,0.422340660474963,3.07746519788122,1.5302705476462,0.393635855624358,0.166715444966422,0,0.165944087770598,0.843099470232019,0.272978695373575,0.55581615506164,0.977096712496954,4.74852563759505,1.42212533285652,2.16806432847595,0.384602457650755
"TCGA-G3-A6UC",0.303268124481829,9.57702579907381,10.6438653869263,11.5692090031927,4.60312780586729,3.98214481510542,2.6293333036077,2.86892377132561,1.2871767517316,1.1623389577246,7.35688680405952,7.10355533795854,4.86532994023715,2.10946085916494,3.5539011054588,3.17549266504098,0.434134457909336,5.46202940830307,4.80736007453069,1.05609792428003,4.63576599778812,0.417704019333249,0.845349538150094,0.387803664533329,0.88596475675397,0.195725547512056,0.716595881994143,2.62676618837824,0.429214229839585,0.156267163051804,6.18239038040067,5.7423323438444,4.36964096451698,0,0.0243196791954129,0.0423641752480077,0.165043649483044,0.0411027718191281,0.183581791117823,0.0990931792191091,2.53363809731641,0.0969364825029574,0.668028329189949,0,5.86197768903295,2.26023647281835,7.81010372725014,1.08024833009212,2.17507743206016,5.74708926916807,0.303576199696641,3.07284325628077,1.29166249044784,0.0231843692482634,0.482538547845415,3.40653667020517,0.113433802604049,3.56688820001182,1.02524146113184,0.0626743627633925,0.0419438299701673,0.186373777465944,0.150429698194205,1.04900337261104,0.0395595572557058,0.119289768374751,1.15445359267987,3.89752119124739,0.350949786310205,1.27679440478926,0.0263043243519085
"TCGA-G3-A3CK",0.305845770646313,9.938809326716,9.8121129524984,9.62500850946511,5.33519023946013,5.49615872019234,3.50467123538574,4.29050550157287,4.35987252452224,2.09612688930501,9.11532045453832,8.1101867797391,2.59829373583342,1.95984432785696,4.34778611205655,3.98293883107706,0.449112319549416,4.27504430670471,3.81506301719287,0.957171707246391,3.48202217465515,1.5166707684832,1.7503063587484,1.60748419301389,1.49891460988312,0.564426948637794,0.480471945227477,5.86080392386177,0.439357178474257,0.545573056035032,3.36231558156349,6.67439850405374,5.47275094182364,0.903809558578697,0.173511248063922,0.153675649797238,0.0432044985651676,0,0.538836107741466,0,3.28970169572107,0.242815884026842,1.37679046057705,0.543198900193333,3.67132734449229,2.28741319128486,9.10635119877782,1.42169458118029,3.62990444871608,5.38788980576324,2.63610254597701,3.85892589961599,0.578214165472454,0.512075148994836,1.93576145639443,4.10395916114653,2.17370311707108,3.83390207666916,2.83941545184153,1.2950176651513,1.68638846884762,0.0729975597999501,0.186500557644495,2.69583795800513,2.92634106902995,2.11553270462368,1.39248229279104,3.85846844419774,1.83139085751311,2.16059754588055,1.12161225474119
"TCGA-EP-A26S",0.338484671751212,7.75332373534246,8.36706654028082,8.85383382129447,4.38395998103173,3.86695741852428,2.22252637965656,3.92396682462616,2.49295553521573,1.2389091166984,7.91315929249146,6.71497629803811,3.28122345484485,1.85853806633654,3.45587295724696,2.78324709737812,1.44784364436209,3.35055382225094,3.26356029254184,1.08936255282773,3.94445555912426,0.496206665923484,1.29537038795348,0.0375930755402331,0.733093981174815,0.103799743157668,0.703543719733816,3.6663362179178,0.473215434070397,0,4.13572364886353,3.31807094754198,2.27730042036528,0.220206113080184,0.0655723115936221,0.0578314745605733,0,0,0.497229128787606,0,2.66051795013496,0.514400039036616,0.335711910320462,0.257614130049541,4.62520034042255,2.41640740896357,7.35430669183988,1.50467123538574,2.48313214861838,5.55440466608585,1.03801469018672,2.8194433834698,1.6263924089757,0.107553970289646,0.38084025031927,3.64583997362049,0.128689328846787,3.88351329435594,1.66152159585276,0.125783331627324,0.215740713464018,0.0336520524899971,0.293723609904934,1.0507454635814,0.13119435170845,0.305678743242287,1.17274351676019,3.84696460961853,0.249141903280348,1.72076001294455,0.345169250856654
"TCGA-ED-A5KG",0.35895946141782,11.1679888383705,11.7979122736381,12.0696732369408,7.92342078955807,8.32871665942694,7.91730165872413,8.13492989205278,4.15391069759977,2.27765750100343,12.3676111016759,11.2672137236175,3.88411922237281,4.63154086734149,6.3862850117239,7.06860310214274,4.58076054934014,6.15708212219836,5.31109253997916,3.59941301795098,5.83814752515158,4.17795764509956,6.08120965291009,0.475396222382618,4.88221262189286,2.32074459965445,0.828469106881733,9.57477836966697,5.37612712615403,2.89435214624997,4.29238421725813,8.40994117691993,9.30302793066485,3.16995706097589,1.31539233132432,1.40702637415934,0.113433802604049,0.0553345017510994,2.12987646083313,0.565889584403189,7.44634556833004,3.14389948142241,3.55977322753736,1.96062291048707,5.41080578057347,7.01908472345118,6.16692428325279,3.84344122438358,7.48817916794715,6.80227207177376,6.61022906626258,6.1625504444613,0.955982284771938,4.50385117371715,6.09311433546962,6.05229415727347,4.01145091173575,5.48656636371725,4.74930363255571,4.44523671820175,3.73400503372005,0,0.428999925763004,5.69849354215703,5.37342201131214,5.26004071533005,3.24180968229001,5.81433764357734,4.16833716342623,5.55926847798466,3.00293650060067
"TCGA-DD-A3A4",0.373475082788937,8.34781578159968,7.1371592031662,8.81244174862156,2.87990177131498,2.42942850208725,0.97944005808644,1.6334777106551,0.15665548884686,0.498455128471235,5.82848180088491,5.86376751660674,1.97217797034637,1.28344770837798,5.02547181462118,3.22613856056934,0.382279900066948,2.37183761733042,2.14636196161619,0.37684601401632,3.3819754785573,0.521452825822431,0.172359497848141,0,0.110897723329813,0.0247451901971378,0.0255958358826835,1.2025117562101,0.0427843980892395,0,1.88127306142925,0.693051992561453,0.718964335759539,0.0648828515848544,0,0.0405417938628468,0,0,0.103128316217225,0,2.63019576219481,0,1.11589886665539,0,3.21242926457128,2.32699746456576,10.7367209633557,1.05401491057585,0.641453545671941,4.98013500671694,0.364684481928229,1.55968758550793,0.0747794264966133,0.065296567127781,0.116763971297723,5.36436231577619,0,3.96622741251769,1.29725012117171,0,0.0201999229434977,0.092072094502929,0,0.577634265267331,0,0.0132121114268512,1.09882376837969,2.8873497971603,0,1.54087041401895,0.0126401807787703
"TCGA-NI-A8LF",0.383914306511893,7.86162541162919,7.64527654497984,9.47899646973172,3.91409566709734,3.69028298906351,1.60307438074238,2.08171457034781,1.49876146567185,1.59464408910477,7.94793669518561,7.30325014060134,2.93064273150751,2.45249000921845,2.37389872996598,2.55785117640284,1.13454953446445,3.89407076310533,3.91875831018332,0.491904391241447,4.20136725158328,0.739761711188126,0.655809754355452,0.243425361895265,0.970780045572852,0.15224833075742,0.0304067104260458,3.56907786203424,0.619553868981616,0.208891775026153,4.2043598595386,3.15599203569233,1.21667214550676,0.0465609057577412,0.0166389421137891,0.314870508536833,0.114500293165193,0,0.338110596266224,0,3.62031661298271,0.0989584800881688,0.942983598187102,0.256406853794245,4.95842047440788,5.06414562676984,8.56894566424,1.27899576680628,2.58770102052809,4.55246314818334,3.12687376665706,2.32434978890219,1.44174904700924,0.0772429989324604,0.651775010621058,4.23232306524079,0.222928180002613,4.06926393043025,1.20876694742141,0.164657575253662,0.239398041566555,0.129480858698878,0.0356239097307212,0.604166234694249,0.75034924058415,0.193456365749585,1.38416035390382,4.09983379972072,0.858299347871378,2.91714528849154,0.079019633034838
