"","substanceBXH","geneSymbol","moduleColor","GS.Activity_score","p.GS.Activity_score","MM.brown","p.MM.brown","MM.grey","p.MM.grey","MM.blue","p.MM.blue","MM.turquoise","p.MM.turquoise"
"FXN","FXN","FXN","grey",-0.0568604706260604,0.278600571812559,-0.0563940572725182,0.28256875786218,-0.10411193960467,0.0468517698317311,-0.0154080641603314,0.769232965104088,0.0503852768757349,0.337096803650416
"RET","RET","RET","grey",0.0546779347965052,0.29749658121753,0.252686979731487,1.00523811088558e-06,0.0784738294626413,0.134547792382849,0.0882477973815609,0.0922832480323738,0.19034505804816,0.000254629786725676
"SNAI2","SNAI2","SNAI2","grey",0.0543634134877071,0.300288368645854,0.183895379227311,0.000413321956246146,-0.217803198114137,2.7005830170506e-05,0.070615129244939,0.178252977194839,0.269334148713632,1.74311264837142e-07
"ATP5MC3","ATP5MC3","ATP5MC3","grey",0.0534085362129512,0.30887039085194,0.0927911153876669,0.0766417790941134,0.278253436789364,6.48449255192674e-08,0.328542546060637,1.23670933189006e-10,0.146816582842488,0.00494567416728652
"IGF1","IGF1","IGF1","grey",-0.0530045266143358,0.312549594583071,-0.105404239844694,0.04417283822041,-0.38810245136354,1.43867969948327e-14,-0.219778085561391,2.27171898377674e-05,-0.0879694566061636,0.0933189734307703
"DAPK2","DAPK2","DAPK2","grey",-0.0524768902303046,0.317397749859407,0.0586488896025506,0.263736004875683,0.0169719113248457,0.746574832145884,0.178693040722351,0.000603889521412828,0.148182439852761,0.00455411595236728
"RNF181","RNF181","RNF181","grey",0.0506265558504544,0.334785287587008,-0.0607704065450759,0.246821086685191,0.488905513749326,2.49520422953056e-23,0.453722450322307,6.18496794711974e-20,-0.140830326949794,0.00704364913764024
"SIVA1","SIVA1","SIVA1","grey",-0.0491745438485414,0.348849747077579,0.095255542655746,0.0691027088336972,0.0849649898786497,0.105099660845966,0.313487340581623,9.14474174227058e-10,0.210676950532334,4.97509258034435e-05
"GSDMB","GSDMB","GSDMB","grey",-0.0466902942820639,0.373765417920878,0.0180396675559287,0.731227488956409,0.0977362435160382,0.0621377455233568,0.174086086770346,0.00083766033150222,0.133170730474374,0.0108700242003418
"INS","INS","INS","grey",-0.0466040677766489,0.374649465008403,-0.0639563099725397,0.222866696118269,0.0558566043036408,0.287188440364623,0.00351664267441724,0.946617431509747,-0.0528079011120405,0.31435056729252
"NAGLU","NAGLU","NAGLU","grey",-0.0451187745666334,0.390079029462065,0.0928146214694053,0.0765668370887524,0.0147623113421922,0.778647900877042,0.130341292667544,0.0126930930311008,0.0524983370005714,0.317199735254782
"CEACAM5","CEACAM5","CEACAM5","grey",0.0449232179750376,0.392138792189434,0.165713348998069,0.00148764231695732,0.166555662968338,0.00140578241074199,0.130106789799425,0.0128556402548921,0.161287047298546,0.0019943182043941
"H2AC20","H2AC20","H2AC20","grey",0.0435178108217942,0.407134058972311,-0.0381465926824502,0.467499020834994,0.417683786961131,7.64493320681352e-17,0.343608668047427,1.4918166551282e-11,-0.13654648594479,0.00900106263861022
"HSPA1A","HSPA1A","HSPA1A","grey",0.0427290142385516,0.415697447554841,-0.00538944679594626,0.918270280348861,0.136506637548234,0.00902134238616267,0.299052342494074,5.62005349724013e-09,0.0714349659829693,0.173254003493776
"BAG1","BAG1","BAG1","grey",0.0419246992149518,0.424537444399053,0.169014016995796,0.00118993756200045,0.288310485897686,2.03719870168465e-08,0.325254041630209,1.9327958103974e-10,0.193128551240202,0.000205574470914239
"RYR2","RYR2","RYR2","grey",0.0418718485860011,0.425122116404294,0.229366500235926,9.59267439426635e-06,0.163681473559887,0.00170342584300584,0.198279509812786,0.000137258839922844,0.276229724153544,8.14076037464274e-08
"ANGPTL4","ANGPTL4","ANGPTL4","grey",-0.0409532491446118,0.435358908172153,-0.134946929132926,0.0098477209694139,-0.216326574660616,3.07019396625549e-05,-0.2153965018851,3.32704749879496e-05,-0.169165423003596,0.00117769717566924
"HINT1","HINT1","HINT1","grey",0.0409196280462549,0.435736246030836,-0.0433279921569667,0.409185151059287,0.120858072119081,0.0209135197531996,0.340263500022187,2.40981015820457e-11,0.0761960408342985,0.14626737881942
"CDKN1A","CDKN1A","CDKN1A","grey",0.0398701092416706,0.447609350008827,0.25782438323173,5.92934391625031e-07,-0.108459513814102,0.0383474028250056,0.0806019909269636,0.124264224509815,0.273228021872645,1.1369249964655e-07
"CCDC178","CCDC178","CCDC178","grey",0.0396167811838931,0.450502420370584,0.168380472971338,0.00124243650802039,0.194495105067592,0.000184868958161605,0.215010712484057,3.43944405969081e-05,0.143446109283417,0.00604472375587088
"AP3B2","AP3B2","AP3B2","grey",0.0373981435079319,0.476285839166865,0.231248180201551,8.06389468962396e-06,0.386083952692515,2.01855564204841e-14,0.317735315075209,5.25857669035491e-10,0.22930386726634,9.64802438646329e-06
"H1.1","H1.1","H1.1","grey",-0.0368713218607943,0.482524383371901,-0.0735687301216121,0.160733510160036,-0.0113865444352035,0.828363838323603,0.0970459490192165,0.0640151379221615,-0.0337498543258215,0.520378851706576
"SREBF1","SREBF1","SREBF1","grey",0.0368003334729961,0.483368385322973,0.164461414136406,0.00161741561147029,0.230679876810864,8.49928256740599e-06,0.282136556325108,4.16947122403919e-08,0.258393794173048,5.58845866606623e-07
"H2AC18","H2AC18","H2AC18","grey",-0.035017732747948,0.504821537467946,-0.00327973416441598,0.950208877499879,0.07321321700254,0.162770935432932,0.0865710319282397,0.0986639268805201,0.0152348810871291,0.771754677082593
"GFAP","GFAP","GFAP","grey",0.0342146516115646,0.51464719355964,0.120546649141498,0.0212480810530149,0.142599047633827,0.0063533312825997,0.138879040810648,0.00788237345300277,0.0954845514862815,0.0684340699939065
"AKR1C2","AKR1C2","AKR1C2","grey",-0.0336349640176816,0.52180065742968,-0.177688603703377,0.000648989429538776,-0.311587360049458,1.16795956381129e-09,-0.0869988254370957,0.0970036106775572,-0.0901396632361685,0.0854849464110073
"H2AJ","H2AJ","H2AJ","grey",-0.0331728903922255,0.527538997666955,-0.0436515119767409,0.405693018888841,0.321251805066906,3.30418983484721e-10,0.305080413242904,2.66470650318705e-09,-0.125361963599049,0.0165623300107979
"CHAC1","CHAC1","CHAC1","grey",0.0324264991416083,0.536875398498518,0.160271059099395,0.002130937762379,0.0628350974065396,0.231100488383485,0.18137785511484,0.000497202000729532,0.186610201695129,0.000337737081285438
"TP63","TP63","TP63","grey",0.0315732127154331,0.54764932925954,0.146592993653181,0.00501258417326286,-0.113645011125158,0.029948201859474,0.136215734784188,0.0091706244136799,0.287861417438631,2.14739613467803e-08
"GPX3","GPX3","GPX3","grey",-0.0315526549436896,0.547910207370981,-0.199592041685652,0.000123629229404885,-0.221248161904218,1.99528322821113e-05,-0.20892478725411,5.76358762014828e-05,-0.255635541398577,7.43513596232639e-07
"FZD9","FZD9","FZD9","grey",-0.0310601229125033,0.554178664296628,0.0739740776823822,0.158433968338738,0.303158710136574,3.38667605864004e-09,0.237270615898193,4.58107114024708e-06,0.0798778399362947,0.127692577832208
"AIRE","AIRE","AIRE","grey",0.0301192796647135,0.566249055860384,0.108920307548216,0.0375279383043961,0.292582202768298,1.22854964227268e-08,0.172005945215986,0.000968497084416381,0.0823231718293916,0.116402727145001
"FGB","FGB","FGB","grey",0.0282907395450643,0.590060928938123,-0.172987788214164,0.000904555596218564,-0.355311976027162,2.66244342694104e-12,-0.368018604273683,3.77620240635522e-13,-0.240407067341805,3.39216662406574e-06
"FHIT","FHIT","FHIT","grey",-0.0276695155700192,0.5982539855927,0.0254981482090135,0.627286634863487,0.199735013482816,0.000122223880415628,0.222410556602167,1.7996126980592e-05,0.0744837647508917,0.15557781990858
"PSAPL1","PSAPL1","PSAPL1","grey",0.0270694029889136,0.606217086350707,0.171393615930841,0.00101045837758665,0.311852194504167,1.12891726955007e-09,0.223998521764543,1.56155379897444e-05,0.178014558850869,0.000634022823409649
"CCN6","CCN6","CCN6","grey",0.0265313659945381,0.613396355202431,0.130226073307065,0.0127727303150204,0.191747491102066,0.00022868876024306,0.22772630390741,1.11466214952654e-05,0.166485744771512,0.00141241658056394
"EYA4","EYA4","EYA4","grey",0.025579418668422,0.626189192030906,0.173450069124313,0.000875819675128507,0.0981271428430119,0.0610948917721398,0.241742858449883,2.98098464970479e-06,0.24825785079134,1.57030384130714e-06
"OLFM3","OLFM3","OLFM3","grey",-0.0251951258219565,0.631385752958949,0.108244110730663,0.0387356361604265,0.0595377347625873,0.256554710930467,0.181514829985217,0.000492259176508999,0.206872370417493,6.83691032578675e-05
"EEF1A2","EEF1A2","EEF1A2","grey",-0.0251117302982619,0.632515872093111,0.077527913031053,0.139323755341114,0.0181861291835254,0.72913050178885,-0.0333323523372692,0.525555076583115,0.0426967828180237,0.416049598416459
"MTUS2","MTUS2","MTUS2","grey",-0.0246906346957668,0.638235288367214,0.0532276178936906,0.310514424011955,-0.176695349604219,0.000696637394770166,-0.151791212473203,0.00365051086574599,0.0201400698754007,0.701353080265515
"CCK","CCK","CCK","grey",0.0224014596484433,0.669696323870808,0.0619167906728446,0.238002763066616,0.119307192637533,0.0226260475845651,0.183739068653611,0.000418120340103357,0.0865271711197996,0.0988354251678764
"PTK6","PTK6","PTK6","grey",0.0216664949679363,0.67992431794849,0.21217697945834,4.38209200524425e-05,0.120888002896959,0.020881607290102,0.100519633023149,0.0550223224793441,0.136345816220448,0.00910360146985916
"CHGA","CHGA","CHGA","grey",-0.0211768392756073,0.686771363690636,0.0477338327493464,0.363168579861915,0.32687643702643,1.55169561832923e-10,0.286713755919381,2.45584222578476e-08,0.102124986030592,0.0512354396100091
"UBE2U","UBE2U","UBE2U","grey",-0.0197986223717856,0.706179791433738,0.181400783101494,0.000496371431368272,0.250834488101766,1.21264172575348e-06,0.292148189450276,1.29382320303754e-08,0.276073094347831,8.2847189005412e-08
"GUCY2D","GUCY2D","GUCY2D","grey",-0.0181045611381986,0.730298117160219,0.0431456786688074,0.411160898484303,0.420706399125009,4.34507919178488e-17,0.228748387070722,1.01523872323609e-05,-0.0437491468078022,0.404642623623622
"RNF152","RNF152","RNF152","grey",-0.0152990422849978,0.770820146762559,0.0845328331563599,0.106886881268256,-0.410963167439177,2.63126263762406e-16,-0.257465543569382,6.15432728753904e-07,0.187949083283299,0.000305401663763127
"TOMM7","TOMM7","TOMM7","grey",0.0152159920957158,0.772029864774157,0.0211000555791874,0.687847402773695,0.374894410070144,1.26534360672973e-13,0.466792184221195,3.76710247060905e-21,0.0509052007263294,0.332128484148389
"CRH","CRH","CRH","grey",-0.014395949785599,0.78400388990466,0.0683513050798033,0.192610654078016,0.194050353477681,0.000191383130979742,0.167966210039224,0.00127790754945306,0.0849568116824529,0.105133261810106
"GPR153","GPR153","GPR153","grey",-0.0140267954681144,0.78941103322977,0.223164243757416,1.6826245545333e-05,-0.0253275358637905,0.629593184905806,0.116756932571531,0.0257062389236426,0.280664535674461,4.93326290534597e-08
"DDRGK1","DDRGK1","DDRGK1","grey",-0.0137948601049552,0.792813470145966,0.0686084131961378,0.190938655999366,0.231685156651126,7.74364632685167e-06,0.359241040642666,1.46895243087286e-12,0.12455505464311,0.0172780593986015
"SPATA2L","SPATA2L","SPATA2L","grey",-0.0128393418923707,0.806871495057825,0.0221796830023348,0.672776322045096,0.297671060064436,6.65213591507917e-09,0.349987754490117,5.88321276282504e-12,0.00470837754202357,0.928569023732174
"SSTR5","SSTR5","SSTR5","grey",0.012161717407199,0.816879098213438,0.208206721602078,6.11960974945264e-05,0.434048294173775,3.34925261162979e-18,0.281878245547374,4.29468331291479e-08,0.194364273100219,0.000186763347402793
