"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"B4GALT1",5.7138591284055e-44,1.25549490025851,0.342,0.273,1.18888266884733e-39,"Low","B4GALT1"
"SLBP",1.01690361186008e-43,1.53764452923064,0.29,0.216,2.11587134519728e-39,"Low","SLBP"
"SIGIRR",1.31434825903543e-43,1.4274842739794,0.285,0.208,2.73476442257502e-39,"Low","SIGIRR"
"IVNS1ABP",1.49508757796161e-43,1.29306390651381,0.324,0.254,3.11082872346473e-39,"Low","IVNS1ABP"
"POLR2L",3.6882429763599e-43,0.567974637701564,0.558,0.596,7.67412716091204e-39,"Low","POLR2L"
"TRIM22",4.37712605919346e-43,1.11403470311136,0.327,0.253,9.10748619136383e-39,"Low","TRIM22"
"DHX36",6.8204204295778e-43,1.19718719768495,0.366,0.314,1.41912487878225e-38,"Low","DHX36"
"EXOSC6",7.40704545346513e-43,1.5959764884638,0.284,0.212,1.54118394750249e-38,"Low","EXOSC6"
"MAZ",1.83064962129628e-42,1.38092887895302,0.314,0.25,3.80903266703116e-38,"Low","MAZ"
"PRPF4B",2.41568187200318e-42,1.3519276364114,0.339,0.281,5.02630927107701e-38,"Low","PRPF4B"
"SLC3A2",5.57508233334198e-42,0.820695225280902,0.481,0.483,1.16000738109847e-37,"Low","SLC3A2"
"MIDN",4.6637023499789e-41,0.709808278534504,0.542,0.535,9.70376547960109e-37,"Low","MIDN"
"RNMT",1.08461491925834e-40,1.08166620937502,0.414,0.387,2.25675826250084e-36,"Low","RNMT"
"ELOVL5",2.72474155905842e-40,1.54316258788036,0.287,0.219,5.66936976193285e-36,"Low","ELOVL5"
"TRA2A",3.1393421149404e-40,1.08432416119812,0.408,0.381,6.53202913855649e-36,"Low","TRA2A"
"ZFAND6",3.9743035601277e-40,0.0562475700249983,0.174,0.306,8.2693334175577e-36,"Low","ZFAND6"
"C7orf50",6.62321085620385e-40,0.0281012178394009,0.172,0.304,1.37809148285034e-35,"Low","C7orf50"
"AL118516.1",2.41717546420857e-39,1.39761570369697,0.309,0.242,5.02941698837877e-35,"Low","AL118516.1"
"SNHG7",3.44657631339659e-39,1.20856336785397,0.374,0.336,7.17129133528429e-35,"Low","SNHG7"
"PHF1",1.0885501974563e-38,1.47993659423207,0.279,0.21,2.26494639584733e-34,"Low","PHF1"
"PITHD1",1.88142214606288e-38,1.40397097301511,0.29,0.227,3.91467505931304e-34,"Low","PITHD1"
"H2AFJ",2.61740119233817e-38,1.08499929316085,0.392,0.358,5.44602666089802e-34,"Low","H2AFJ"
"POLR3GL",4.40388408741284e-38,1.24378151309302,0.267,0.193,9.1631616206799e-34,"Low","POLR3GL"
"LDHB",6.05734001577291e-38,0.984772809838108,0.411,0.389,1.26035073708187e-33,"Low","LDHB"
"C1orf122",9.20149508410975e-38,0.0216540190838517,0.155,0.274,1.91455508215072e-33,"Low","C1orf122"
"STARD7",1.56635626186906e-37,1.59639504428118,0.28,0.216,3.25911747407095e-33,"Low","STARD7"
"OSTF1",1.8668805841423e-37,0.742338550633369,0.462,0.449,3.88441843142489e-33,"Low","OSTF1"
"TMEM256",2.9047086631507e-37,0.0862268824309071,0.199,0.345,6.04382731541767e-33,"Low","TMEM256"
"APOL6",3.13128802638375e-37,1.20573274302377,0.313,0.248,6.51527099649668e-33,"Low","APOL6"
"MRPS34",4.54977173545645e-37,0.0760865401458674,0.166,0.29,9.46671004996423e-33,"Low","MRPS34"
"GAPDH",5.43369850257018e-37,0.184417117520076,0.925,0.888,1.13058964742978e-32,"Low","GAPDH"
"G3BP2",9.36745929518894e-37,1.12222005249827,0.398,0.374,1.94908725554996e-32,"Low","G3BP2"
"SNRPB",9.95418427423612e-37,0.602184200030963,0.541,0.555,2.07116712194031e-32,"Low","SNRPB"
"DYNLL1",1.03054376630686e-36,0.484635969157108,0.606,0.656,2.14425241455468e-32,"Low","DYNLL1"
"TRAPPC10",1.32074816320843e-36,1.6582554000172,0.255,0.187,2.74808070318777e-32,"Low","TRAPPC10"
"TTC14",4.88641415325609e-36,1.5341085339558,0.251,0.182,1.01671619286799e-31,"Low","TTC14"
"GRASP",7.13288833681918e-36,0.97898087646819,0.476,0.456,1.48414007624197e-31,"Low","GRASP"
"EIF2AK2",9.43367010748844e-36,1.28837049033803,0.255,0.184,1.96286373926512e-31,"Low","EIF2AK2"
"CHMP2B",1.50226189877074e-35,0.0166371250311952,0.162,0.279,3.12575633277228e-31,"Low","CHMP2B"
"CCNL1",2.31574249145617e-35,0.403990228495447,0.689,0.686,4.81836540197286e-31,"Low","CCNL1"
"ATP1B3",2.56538558198718e-35,0.827828067212651,0.557,0.555,5.33779778044074e-31,"Low","ATP1B3"
"SLC7A5",3.14476057064479e-35,1.22630368096819,0.273,0.198,6.54330331934061e-31,"Low","SLC7A5"
"BCLAF1",5.03575337081019e-35,0.722898644577076,0.513,0.52,1.04778920386448e-30,"Low","BCLAF1"
"RPS16",5.81267733145326e-35,0.228116519702221,0.965,0.897,1.20944377235548e-30,"Low","RPS16"
"RASSF1",6.41260828654875e-35,1.51545881000348,0.274,0.213,1.3342714061822e-30,"Low","RASSF1"
"MACF1",9.70014469071534e-35,1.27926671102954,0.307,0.25,2.01830910579714e-30,"Low","MACF1"
"CLINT1",1.23332274601355e-34,0.153960935320457,0.172,0.297,2.5661746376304e-30,"Low","CLINT1"
"EBP",1.28209988346274e-34,1.32488628929131,0.266,0.198,2.66766522752092e-30,"Low","EBP"
"POLR2A",2.06010880786929e-34,1.14439688999276,0.357,0.317,4.28646839653364e-30,"Low","POLR2A"
"MXD4",2.31884459790068e-34,1.05383075579785,0.39,0.373,4.82481995485194e-30,"Low","MXD4"
"NDUFB6",3.65216625703778e-34,0.101866870423022,0.175,0.3,7.59906233101851e-30,"Low","NDUFB6"
"SSR2",3.82297754021701e-34,0.450169606000763,0.611,0.676,7.95446936792953e-30,"Low","SSR2"
"PFN1",5.10025315059508e-34,0.269899339839198,0.927,0.803,1.06120967304432e-29,"Low","PFN1"
"NR3C1",6.65939713977676e-34,0.942351717067699,0.4,0.372,1.38562076287335e-29,"Low","NR3C1"
"SQSTM1",8.00514370248029e-34,0.380746961003941,0.665,0.684,1.66563025017507e-29,"Low","SQSTM1"
"HAVCR2",1.05567109009229e-33,1.27578023555374,0.272,0.206,2.19653483715503e-29,"Low","HAVCR2"
"CELF2",1.37025044291038e-33,0.779579241278456,0.462,0.446,2.85108009656363e-29,"Low","CELF2"
"RAN",3.17598105033306e-33,0.5261901045208,0.561,0.608,6.608263771428e-29,"Low","RAN"
"ST8SIA4",7.71126151046392e-33,0.0273709738716833,0.164,0.279,1.60448218248223e-28,"Low","ST8SIA4"
"GGNBP2",1.59892102238722e-32,1.02521290306994,0.41,0.401,3.3268749712811e-28,"Low","GGNBP2"
"SMIM7",1.64988422661322e-32,0.0150254827011354,0.169,0.288,3.43291411031412e-28,"Low","SMIM7"
"CAMTA1",3.15269963489816e-32,0.0711874985188747,0.156,0.268,6.55982213033259e-28,"Low","CAMTA1"
"HNRNPH3",4.0532873472723e-32,0.957198971423149,0.397,0.381,8.43367498346948e-28,"Low","HNRNPH3"
"KANSL1",5.16198863120337e-32,1.35653240865735,0.282,0.225,1.07405497449449e-27,"Low","KANSL1"
"CHD1",5.71558520787408e-32,0.838197990441081,0.462,0.444,1.18924181420236e-27,"Low","CHD1"
"APRT",7.61393274262801e-32,0.582504436868863,0.491,0.518,1.58423098575861e-27,"Low","APRT"
"TSTD1",8.06575788665401e-32,1.20204482035999,0.354,0.326,1.6782422434761e-27,"Low","TSTD1"
"FGFR1OP2",1.35058772953928e-31,1.1757172275011,0.338,0.308,2.81016788885238e-27,"Low","FGFR1OP2"
"HNRNPL",1.94172063091178e-31,1.17656599258353,0.356,0.331,4.04013811673814e-27,"Low","HNRNPL"
"SLC16A3",2.83542042220662e-31,0.161064260584752,0.196,0.322,5.8996592724853e-27,"Low","SLC16A3"
"IRS2",3.00501365868827e-31,1.31095306084504,0.27,0.206,6.25253191963268e-27,"Low","IRS2"
"ACADVL",3.64694529163631e-31,0.0138331434826465,0.2,0.333,7.58819906830767e-27,"Low","ACADVL"
"RNPS1",3.79740908270988e-31,1.15253347277385,0.363,0.345,7.90126907839445e-27,"Low","RNPS1"
"KDM2A",6.30746012022212e-31,1.27497990211088,0.308,0.261,1.31239322721462e-26,"Low","KDM2A"
"ATP5F1A",8.19432010660789e-31,0.0284571308772323,0.276,0.451,1.7049921845819e-26,"Low","ATP5F1A"
"PAPOLA",1.21452654712776e-30,0.762801260504303,0.469,0.499,2.52706538660873e-26,"Low","PAPOLA"
"AKIRIN1",1.63876692405181e-30,1.14054656401691,0.338,0.303,3.4097823388746e-26,"Low","AKIRIN1"
"PCM1",2.45587930950573e-30,1.3742715573413,0.28,0.228,5.10994807928856e-26,"Low","PCM1"
"SLC9A3R1",2.79660943314639e-30,1.34370895728418,0.275,0.217,5.81890524754769e-26,"Low","SLC9A3R1"
"ATG12",4.279241628688e-30,1.16761025754447,0.322,0.282,8.90381805681112e-26,"Low","ATG12"
"MT-ND3",5.65275492901659e-30,0.168689661723593,0.99,0.932,1.17616871808048e-25,"Low","MT-ND3"
"IRF2BP2",6.15152992254287e-30,0.880524115746941,0.393,0.368,1.27994883098349e-25,"Low","IRF2BP2"
"MAPK1",9.03514334346411e-30,1.06455201761109,0.341,0.301,1.87994227547458e-25,"Low","MAPK1"
"CYBC1",1.26703501529137e-29,0.226706639278886,0.16,0.271,2.63631975631676e-25,"Low","CYBC1"
"HEXIM1",1.86074817429208e-29,1.25240090693475,0.314,0.272,3.87165872624954e-25,"Low","HEXIM1"
"PSMD7",3.01431519722705e-29,0.067232222629723,0.24,0.392,6.27188563087032e-25,"Low","PSMD7"
"H2AFV",3.11103048272555e-29,0.660902313756408,0.486,0.52,6.47312112540704e-25,"Low","H2AFV"
"PER1",3.19801441398596e-29,1.1045165387588,0.354,0.328,6.65410859118059e-25,"Low","PER1"
"CCDC12",3.34995107390252e-29,1.12068613626542,0.337,0.307,6.97024319946898e-25,"Low","CCDC12"
"KIAA1551",3.3899548027493e-29,1.46837275471471,0.279,0.229,7.05347895808047e-25,"Low","KIAA1551"
"MKRN1",3.73344963415226e-29,0.0554407383480214,0.185,0.305,7.7681886537806e-25,"Low","MKRN1"
"PRKCSH",4.64138901886234e-29,0.189150673870024,0.155,0.261,9.65733813154687e-25,"Low","PRKCSH"
"UFM1",8.75608646312133e-29,0.0435305487864647,0.25,0.404,1.82187891038165e-24,"Low","UFM1"
"N4BP2L2",1.05958772211709e-28,0.725892445388868,0.467,0.481,2.20468417340903e-24,"Low","N4BP2L2"
"TUBA1A",1.10132636004214e-28,0.449559691278111,0.571,0.518,2.29152975733969e-24,"Low","TUBA1A"
"JOSD1",1.54853731738494e-28,0.9601400355668,0.391,0.373,3.22204159628284e-24,"Low","JOSD1"
"GADD45A",1.89263407205175e-28,0.551893103286036,0.385,0.324,3.93800371371808e-24,"Low","GADD45A"
"MYLIP",2.11155321762833e-28,1.24295106543602,0.303,0.257,4.39350877991926e-24,"Low","MYLIP"
"TAGAP",2.85075737493835e-28,0.871988328002016,0.461,0.458,5.93157087003422e-24,"Low","TAGAP"
"PCBP2",7.99460089521014e-28,0.539604192504309,0.552,0.604,1.66343660826637e-23,"Low","PCBP2"
"OST4",1.18883537372207e-27,0.218070541541783,0.686,0.751,2.4736097621035e-23,"Low","OST4"
"SIK3",1.84774502771151e-27,1.35922628624404,0.275,0.226,3.84460307915934e-23,"Low","SIK3"
"PQBP1",2.86317650446298e-27,0.174604176665902,0.192,0.315,5.95741135283611e-23,"Low","PQBP1"
"PHB2",3.21665833567683e-27,0.00675792833641958,0.25,0.396,6.69290099904278e-23,"Low","PHB2"
"TSC22D2",3.95713138890369e-27,0.038903846231215,0.173,0.278,8.23360328089191e-23,"Low","TSC22D2"
"EIF2S3",5.74229842646244e-27,0.00660199314080079,0.216,0.344,1.19480003359404e-22,"Low","EIF2S3"
"ISCU",6.01900701880742e-27,0.00139930733100732,0.279,0.448,1.25237479040326e-22,"Low","ISCU"
"EIF2A",6.67653840817891e-27,0.279458350106365,0.198,0.326,1.38918734658979e-22,"Low","EIF2A"
"AC004687.1",7.89704711468702e-27,1.3326717902479,0.269,0.218,1.64313859315293e-22,"Low","AC004687.1"
"SPTY2D1",8.02643629522304e-27,1.36098707571767,0.272,0.225,1.67006059994706e-22,"Low","SPTY2D1"
"BRAF",1.08697355144815e-26,1.47355520851612,0.257,0.207,2.26166586849816e-22,"Low","BRAF"
"SNRPN",1.15652383785051e-26,1.23646572545764,0.292,0.253,2.40637914941555e-22,"Low","SNRPN"
"ARFGAP3",1.41384346825725e-26,0.181126427487721,0.185,0.301,2.94178410440286e-22,"Low","ARFGAP3"
"RPS13",1.41625019721942e-26,0.124563256215041,0.982,0.923,2.94679178535445e-22,"Low","RPS13"
"ZNHIT1",1.84557191573724e-26,0.0235910245825547,0.273,0.436,3.84008148507448e-22,"Low","ZNHIT1"
"SIRT2",2.65548057057576e-26,1.42945029852469,0.262,0.216,5.52525842319699e-22,"Low","SIRT2"
"AC016831.7",3.07218245504944e-26,1.20894759671504,0.275,0.225,6.39229003422138e-22,"Low","AC016831.7"
"MORF4L1",3.30602195640217e-26,0.468356610993125,0.58,0.612,6.87883988468599e-22,"Low","MORF4L1"
"HNRNPM",3.54692682566716e-26,0.935247521362308,0.401,0.404,7.38009064616567e-22,"Low","HNRNPM"
"FYB1",4.98261113126984e-26,0.498787409763309,0.461,0.413,1.03673189808332e-21,"Low","FYB1"
"TERF2IP",6.29107366773589e-26,1.10417954046971,0.368,0.362,1.30898369804581e-21,"Low","TERF2IP"
"PRMT2",8.05485709720981e-26,1.23795095174853,0.292,0.251,1.67597411621645e-21,"Low","PRMT2"
"CSNK1D",1.46820424721048e-25,1.10048337006035,0.351,0.333,3.05489257717085e-21,"Low","CSNK1D"
"PET100",2.43583300306882e-25,0.0740498544207955,0.275,0.437,5.06823772948529e-21,"Low","PET100"
"NOL7",2.46225033585998e-25,0.0590019090603662,0.232,0.37,5.12320427382387e-21,"Low","NOL7"
"DBI",2.57723549070092e-25,0.158467323507917,0.579,0.602,5.36245388550141e-21,"Low","DBI"
"ERN1",3.74399780328005e-25,1.01128759165894,0.421,0.429,7.7901362292848e-21,"Low","ERN1"
"MRPL20",4.25025658718261e-25,0.103357641366036,0.215,0.346,8.84350888095086e-21,"Low","MRPL20"
"MYH9",4.90262257916246e-25,1.02364755434825,0.345,0.319,1.02008868004633e-20,"Low","MYH9"
"LRPAP1",5.47162998207999e-25,0.0437504385704908,0.315,0.503,1.13848205037138e-20,"Low","LRPAP1"
"SCAND1",5.84937159468058e-25,0.743071883485427,0.464,0.505,1.21707874770519e-20,"Low","SCAND1"
"RNF166",7.70942860355157e-25,1.10197522315474,0.329,0.302,1.60410080954097e-20,"Low","RNF166"
"HOTAIRM1",9.06996455758376e-25,0.0198175157607218,0.169,0.268,1.88718752549645e-20,"Low","HOTAIRM1"
"HSPA6",9.38705326838145e-25,1.57077895743764,0.308,0.245,1.95316417355213e-20,"Low","HSPA6"
"PPP1R10",1.00779642388627e-24,0.844296618799275,0.423,0.425,2.09692201918017e-20,"Low","PPP1R10"
"AZIN1",1.16956810485336e-24,0.160979727918401,0.226,0.357,2.43352035576839e-20,"Low","AZIN1"
"PABPC1",1.60964440763301e-24,0.216107609595202,0.869,0.798,3.34918711896201e-20,"Low","PABPC1"
"PHPT1",1.66148010702046e-24,0.0826850436736463,0.289,0.456,3.45704165867748e-20,"Low","PHPT1"
"PNP",1.73108314911075e-24,0.0459667301638607,0.24,0.368,3.60186470835473e-20,"Low","PNP"
"PRDM2",2.85536890281275e-24,1.08342330033031,0.319,0.289,5.9411660760825e-20,"Low","PRDM2"
"ITSN2",4.79840231291985e-24,0.0926553454228396,0.202,0.32,9.98403569249234e-20,"Low","ITSN2"
"WBP2",8.87424766123559e-24,0.105125360248723,0.156,0.253,1.84646471087329e-19,"Low","WBP2"
"BIN2",9.35532400696151e-24,0.753806924865814,0.405,0.376,1.94656226612848e-19,"Low","BIN2"
"PPP2R1A",1.13035350329049e-23,0.0455492911736093,0.161,0.259,2.35192653429653e-19,"Low","PPP2R1A"
"EIF3A",1.18263111775183e-23,0.0126016721197584,0.312,0.47,2.46070056670624e-19,"Low","EIF3A"
"CHCHD2",1.35981424185341e-23,0.178239224617518,0.767,0.779,2.82936549302439e-19,"Low","CHCHD2"
"MT1X",1.64070598343503e-23,1.21668866248787,0.432,0.38,3.41381693973327e-19,"Low","MT1X"
"JMY",2.0072047444015e-23,1.36560504595574,0.254,0.208,4.1763909116762e-19,"Low","JMY"
"MLF2",2.5342297154685e-23,0.206203282106343,0.189,0.305,5.27297176897532e-19,"Low","MLF2"
"NFKBIB",2.5878807170438e-23,1.39947515489339,0.27,0.233,5.38460340795303e-19,"Low","NFKBIB"
"HMGA1",2.89631788896232e-23,0.077428665244988,0.172,0.273,6.0263686315639e-19,"Low","HMGA1"
"RBBP6",4.02877434060519e-23,0.782018668631815,0.37,0.361,8.38267077049722e-19,"Low","RBBP6"
"LAMP1",4.43807344325079e-23,0.790234312737895,0.365,0.35,9.23429941337191e-19,"Low","LAMP1"
"SP110",4.55181741022153e-23,0.00466469588183124,0.253,0.384,9.47096648544794e-19,"Low","SP110"
"ZFP36L1",8.04795098506209e-23,0.586401388874936,0.512,0.499,1.67453716146187e-18,"Low","ZFP36L1"
"MMP24OS",8.46932809762023e-23,0.0517335984139342,0.237,0.365,1.76221309727184e-18,"Low","MMP24OS"
"STAT3",1.05397161975099e-22,0.719108997101738,0.45,0.451,2.19299874921588e-18,"Low","STAT3"
"PSMC4",1.18838491851217e-22,0.0828480583281549,0.192,0.305,2.47267249994826e-18,"Low","PSMC4"
"NUDC",1.30911675176257e-22,1.01442155993008,0.367,0.363,2.72387922539239e-18,"Low","NUDC"
"SS18L2",2.04240152584525e-22,1.19198176625748,0.273,0.237,4.24962485482622e-18,"Low","SS18L2"
"DUSP1",2.74518287124155e-22,0.0624989000918568,0.917,0.796,5.7119020001923e-18,"Low","DUSP1"
"BPTF",2.83241912048542e-22,1.16116844873977,0.29,0.255,5.89341446399402e-18,"Low","BPTF"
"CORO7",2.85362457888845e-22,0.0392821467217177,0.163,0.257,5.93753666129319e-18,"Low","CORO7"
"PLEKHB2",3.83629393017671e-22,0.0100798787481827,0.197,0.304,7.98217678051868e-18,"Low","PLEKHB2"
"RTF2",4.39945008376826e-22,0.128220940467213,0.187,0.296,9.15393578929661e-18,"Low","RTF2"
"YTHDC1",5.56204225046547e-22,1.06901546991354,0.351,0.341,1.15729413105435e-17,"Low","YTHDC1"
"RNF114",8.72239210443267e-22,0.142653808394308,0.222,0.348,1.81486812516931e-17,"Low","RNF114"
"NUCB1",1.34702870301818e-21,0.0491193333041343,0.254,0.396,2.80276262236993e-17,"Low","NUCB1"
"TANK",1.51905433615474e-21,0.0520258070643885,0.268,0.406,3.16069635723717e-17,"Low","TANK"
"YME1L1",2.50890378415885e-21,0.826158077365057,0.42,0.419,5.22027610369932e-17,"Low","YME1L1"
"BFAR",2.61815605412509e-21,0.241575989763265,0.165,0.262,5.44759730181808e-17,"Low","BFAR"
"RBPJ",4.53266642273922e-21,0.367831780463215,0.206,0.321,9.43111902579349e-17,"Low","RBPJ"
"AUP1",5.03019242842893e-21,0.148059140639733,0.255,0.398,1.04663213858321e-16,"Low","AUP1"
"KPNA2",8.85013974154249e-21,1.24089339953499,0.264,0.226,1.84144857602274e-16,"Low","KPNA2"
"RPL22L1",9.24234623442957e-21,0.539868954192601,0.559,0.627,1.92305498099776e-16,"Low","RPL22L1"
"SELENOH",1.44646670847998e-20,0.0243469622174045,0.281,0.431,3.00966328033429e-16,"Low","SELENOH"
"SOD1",1.64405070076183e-20,0.597252106833067,0.603,0.646,3.42077629307513e-16,"Low","SOD1"
"FKBP4",2.45493038983711e-20,1.24792987919592,0.26,0.216,5.10797366213408e-16,"Low","FKBP4"
"CHST11",2.64648825788195e-20,1.28285655467903,0.264,0.233,5.50654811817497e-16,"Low","CHST11"
"XRN2",3.45375751004701e-20,0.0721576816182973,0.207,0.319,7.1862332511548e-16,"Low","XRN2"
"SLC25A3",4.08252433626766e-20,0.316499267321166,0.646,0.674,8.49450838647211e-16,"Low","SLC25A3"
"NAPA",4.42260018703862e-20,0.0820929698356377,0.271,0.413,9.20210420917125e-16,"Low","NAPA"
"ARID5A",4.98963730043913e-20,1.1205862151869,0.32,0.303,1.03819383310237e-15,"Low","ARID5A"
"NUFIP2",9.38099398500124e-20,0.846780278339726,0.398,0.406,1.95190341845921e-15,"Low","NUFIP2"
"TUBA1B",1.23511251320798e-19,0.188189732240093,0.686,0.704,2.56989860623184e-15,"Low","TUBA1B"
"TOB1",1.25226764939615e-19,1.17175255256226,0.318,0.298,2.60559329809856e-15,"Low","TOB1"
"NDUFA6",1.26233531773462e-19,0.0274038930737331,0.311,0.474,2.62654109561041e-15,"Low","NDUFA6"
"EDF1",1.36929307732109e-19,0.28542745065057,0.643,0.74,2.84908810598198e-15,"Low","EDF1"
"HERPUD2",1.65013297603707e-19,1.19494939609132,0.257,0.222,3.43343168324034e-15,"Low","HERPUD2"
"C19orf24",2.02444717188479e-19,0.0672065393331929,0.169,0.263,4.21226723054068e-15,"Low","C19orf24"
"BCL3",2.22354837457257e-19,0.22068988616017,0.191,0.292,4.62653710297314e-15,"Low","BCL3"
"IQGAP1",2.38920526387135e-19,0.484974384590355,0.538,0.568,4.97121939253712e-15,"Low","IQGAP1"
"NOP53",2.59411559739316e-19,0.522325026681538,0.539,0.614,5.39757632349595e-15,"Low","NOP53"
"CLIC1",3.00135719793899e-19,0.196826559881203,0.784,0.761,6.24492392175165e-15,"Low","CLIC1"
"SEPT9",3.34588221050936e-19,0.01375478005671,0.283,0.412,6.96177711540683e-15,"Low","SEPT9"
"HSPA9",3.75726784222111e-19,0.952332550368645,0.351,0.348,7.81774719930947e-15,"Low","HSPA9"
"SMARCA2",3.97918345389763e-19,1.26355942501462,0.25,0.214,8.2794870125248e-15,"Low","SMARCA2"
"MTCH1",7.41542652409507e-19,0.00776907367202223,0.247,0.369,1.54292779686846e-14,"Low","MTCH1"
"SURF4",8.15513319943766e-19,1.29895369512051,0.279,0.258,1.69683856480699e-14,"Low","SURF4"
"IAH1",8.24161793998408e-19,0.0670759729432536,0.176,0.271,1.71483344477249e-14,"Low","IAH1"
"BAG1",1.06745397739223e-18,0.124482074065302,0.243,0.373,2.22105149076002e-14,"Low","BAG1"
"FMNL1",1.14358570676005e-18,0.706019146768282,0.465,0.491,2.37945878005564e-14,"Low","FMNL1"
"GRK6",1.27850240172474e-18,0.272567117667166,0.17,0.261,2.66017994726866e-14,"Low","GRK6"
"COX4I1",1.55161671437518e-18,0.121332245323305,0.829,0.808,3.22844889760045e-14,"Low","COX4I1"
"NDUFA3",1.99744229333341e-18,0.00464880470927084,0.324,0.493,4.15607817973882e-14,"Low","NDUFA3"
"FAM49B",2.65698620677395e-18,0.619537707271933,0.405,0.406,5.52839120043456e-14,"Low","FAM49B"
"BIRC3",2.75386559062979e-18,0.0239428652871136,0.316,0.452,5.7299681344234e-14,"Low","BIRC3"
"ROMO1",2.86760600602149e-18,0.0502165035250894,0.289,0.437,5.96662781672892e-14,"Low","ROMO1"
"BAZ1A",4.7743883836576e-18,0.916787046655874,0.375,0.375,9.93406990987636e-14,"Low","BAZ1A"
"SYF2",6.30125031305018e-18,0.657545932078875,0.455,0.488,1.31110115263635e-13,"Low","SYF2"
"GHITM",7.89115621224694e-18,0.00637968543704698,0.322,0.483,1.64191287308222e-13,"Low","GHITM"
"PA2G4",9.15131846119423e-18,0.889542806615663,0.319,0.305,1.90411483222068e-13,"Low","PA2G4"
"ATM",9.26618422828942e-18,1.00076579174488,0.272,0.239,1.92801495238018e-13,"Low","ATM"
"MAGOH",1.29195474475301e-17,0.841896130055565,0.354,0.362,2.68817023740759e-13,"Low","MAGOH"
"DNAJB14",1.33292108885404e-17,1.21667251012045,0.26,0.233,2.7734089095786e-13,"Low","DNAJB14"
"PFDN2",1.39828126959784e-17,0.0268591863419638,0.285,0.425,2.90940383765223e-13,"Low","PFDN2"
"CHD2",1.50330251863796e-17,0.937319394811326,0.351,0.349,3.12792155053e-13,"Low","CHD2"
"CNBP",1.59798321974708e-17,0.44749355363646,0.554,0.633,3.32492368532774e-13,"Low","CNBP"
"SRP72",1.77983542726628e-17,0.126789707168741,0.228,0.345,3.70330357351294e-13,"Low","SRP72"
"TNFRSF14",2.49859358887112e-17,0.112081027040776,0.3,0.446,5.19882368036415e-13,"Low","TNFRSF14"
"PHIP",2.50483092703525e-17,0.0952521782466026,0.209,0.311,5.21180170988224e-13,"Low","PHIP"
"AC007952.4",2.75641769301325e-17,0.263173968589609,0.198,0.297,5.73527829385268e-13,"Low","AC007952.4"
"ZFAS1",3.59700407415824e-17,0.31545781763078,0.631,0.624,7.48428637710105e-13,"Low","ZFAS1"
"SH3KBP1",3.92605114005537e-17,1.01159095437931,0.319,0.309,8.16893460711322e-13,"Low","SH3KBP1"
"ARIH1",4.92961907209189e-17,1.04526658398326,0.29,0.269,1.02570584033016e-12,"Low","ARIH1"
"ZFAND2A",5.91832572325301e-17,0.675794482897016,0.363,0.347,1.23142603323725e-12,"Low","ZFAND2A"
"MRPS6",6.86874297004528e-17,1.01271714317751,0.342,0.332,1.42917934977732e-12,"Low","MRPS6"
"RARA",8.34063906917804e-17,0.222402036809554,0.169,0.254,1.73543677112387e-12,"Low","RARA"
"HSPA1A",8.61703922594996e-17,1.33869202403796,0.666,0.742,1.79294735174341e-12,"Low","HSPA1A"
"TUFM",9.75842815423741e-17,0.209702381954271,0.284,0.439,2.03043614605218e-12,"Low","TUFM"
"ARF5",1.06182151783506e-16,0.268327169442314,0.17,0.26,2.20933203215941e-12,"Low","ARF5"
"CCT3",1.59689257615065e-16,0.873790826375975,0.307,0.292,3.32265438319665e-12,"Low","CCT3"
"STIP1",1.74359674078278e-16,1.18641545995925,0.276,0.254,3.62790173854674e-12,"Low","STIP1"
"LUC7L3",1.87020271667306e-16,0.970128618099822,0.275,0.249,3.89133079258163e-12,"Low","LUC7L3"
"GNB1",2.18229292874303e-16,0.0706014184584856,0.285,0.42,4.54069689683562e-12,"Low","GNB1"
"BDP1",2.3332414329604e-16,1.2225233210977,0.262,0.236,4.8547754495607e-12,"Low","BDP1"
"EMC3",2.46318192151857e-16,0.269939622540932,0.207,0.316,5.12514262410368e-12,"Low","EMC3"
"TMED2",2.62519662300522e-16,0.177413792425099,0.252,0.383,5.46224661348696e-12,"Low","TMED2"
"HIF1A",2.91170170913643e-16,0.0352577997013076,0.213,0.313,6.05837774620017e-12,"Low","HIF1A"
"SUMO1",3.23591343747408e-16,0.723854600133097,0.395,0.42,6.73296508935231e-12,"Low","SUMO1"
"MYL12B",3.33997821552086e-16,0.18016909993412,0.734,0.683,6.94949267303425e-12,"Low","MYL12B"
"RWDD1",3.39905046444114e-16,0.805499682371218,0.406,0.439,7.07240430136268e-12,"Low","RWDD1"
"SSNA1",3.63726544524719e-16,0.284045093744113,0.242,0.368,7.56805821192582e-12,"Low","SSNA1"
"AP3S1",5.08838401260526e-16,0.201269220275918,0.226,0.344,1.05874006150278e-11,"Low","AP3S1"
"FIBP",5.47411259739469e-16,0.132054274204304,0.169,0.254,1.13899860813991e-11,"Low","FIBP"
"UBA52",5.9223769626296e-16,0.119791308815218,0.957,0.875,1.23226897461434e-11,"Low","UBA52"
"IMP3",7.01760332380118e-16,0.944903058877508,0.263,0.239,1.46015272358331e-11,"Low","IMP3"
"ELF2",8.24650934977227e-16,0.271749143665109,0.21,0.313,1.71585120040712e-11,"Low","ELF2"
