"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ITM2A",3.25558156269363e-238,3.43471384971033,0.385,0.109,6.77388855749663e-234,"Low","ITM2A"
"RPS15",1.46515284076907e-237,0.493618504687756,0.99,0.952,3.04854351578819e-233,"Low","RPS15"
"CIRBP",2.51544397688507e-236,0.85096061923123,0.83,0.754,5.23388428270476e-232,"Low","CIRBP"
"RPS3A",1.02931864132573e-235,0.455774918385926,0.988,0.939,2.14170329700645e-231,"Low","RPS3A"
"CSRNP1",2.4192087205492e-233,1.34455793140674,0.68,0.542,5.03364758484672e-229,"Low","CSRNP1"
"RPL15",3.3322849218969e-233,0.539166347632694,0.978,0.906,6.93348523699087e-229,"Low","RPL15"
"HNRNPA0",1.29627096635305e-231,1.42395534749528,0.64,0.51,2.69715099969079e-227,"Low","HNRNPA0"
"RGCC",1.67784131472828e-231,1.77210199387363,0.645,0.454,3.49108442355512e-227,"Low","RGCC"
"STK4",5.41808840245365e-230,1.35900469245657,0.661,0.523,1.12734165389853e-225,"Low","STK4"
"PHLDA1",5.66443859624208e-230,2.87096503445942,0.436,0.181,1.17859973872009e-225,"Low","PHLDA1"
"RPS28",2.99772224936019e-229,0.458520937865002,0.988,0.948,6.23736068424374e-225,"Low","RPS28"
"PTPN7",1.59360003552665e-225,2.67657967860364,0.431,0.177,3.31580359392031e-221,"Low","PTPN7"
"CLIC3",1.82127615921224e-225,2.17369905893434,0.441,0.172,3.7895293044729e-221,"Low","CLIC3"
"SLC38A1",1.94839865509478e-224,2.52693108042051,0.437,0.187,4.05403308165572e-220,"Low","SLC38A1"
"HSPE1",2.5363431165221e-224,1.43759856815319,0.784,0.691,5.27736912254754e-220,"Low","HSPE1"
"GNG2",8.49864512826361e-223,1.87129993037897,0.554,0.351,1.76831309183781e-218,"Low","GNG2"
"CD81",1.37930972259008e-222,0.894564938994122,0.697,0.582,2.86992973979319e-218,"Low","CD81"
