"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change"
"DIS3L2",0.267571263776467,2.40297457882653,5.13181024610944,4.41499988323145e-07,1.56321851902405e-06,5.30464019223855,"NOT"
"KAT7",0.265890001981697,2.58859308783348,5.13097261005543,4.43351559090004e-07,1.56944596890418e-06,5.30060270763352,"NOT"
"MME",-1.5742001494697,2.05546958365206,-5.1294006070845,4.4684674111288e-07,1.58148791181155e-06,5.29302707170715,"DOWN"
"RFC5",0.419882096366479,3.17415018157028,5.12799303500845,4.49998953692527e-07,1.59231122865563e-06,5.28624557870098,"NOT"
"UGT3A1",-1.49841655909904,3.28206605611958,-5.12718849255802,4.51810358544615e-07,1.59838659354661e-06,5.28237013741064,"DOWN"
"MYZAP",-0.299255573213845,0.485348233667057,-5.12684007035423,4.52597010027207e-07,1.60083486761504e-06,5.28069197099707,"NOT"
"FMO3",-1.52560827756341,7.30777277399967,-5.12366630581543,4.59823902181529e-07,1.62605647833096e-06,5.265410241259,"DOWN"
"TMEM38B",0.466295165860447,3.76386387822401,5.12226019891294,4.63061303005379e-07,1.63716262184581e-06,5.2586424769463,"NOT"
"BCKDK",-0.431965798559482,5.48545477866486,-5.12130330852738,4.65277039333869e-07,1.64465276427165e-06,5.2540377821601,"NOT"
"NUCKS1",0.451254661280214,6.93933275455433,5.12099978577394,4.65982005792467e-07,1.64680065163207e-06,5.25257734511477,"NOT"
"H4C4",0.38147606680496,0.533896814766408,5.12086032403326,4.66306268291424e-07,1.64760249859244e-06,5.25190633336701,"NOT"
"AP002495.1",0.242431779326617,0.665767412159983,5.12073550931825,4.66596660205222e-07,1.64828436061222e-06,5.25130580854855,"NOT"
"CD248",0.736897989561456,3.40064741709352,5.11994912199601,4.68430286390785e-07,1.6544163798828e-06,5.24752253592741,"UP"
"PHF6",0.349136263676577,2.29103765272946,5.11977345900292,4.68840833399178e-07,1.65552081426283e-06,5.24667749941922,"NOT"
"DECR1",-0.592118695839294,6.61918822560303,-5.11841084597969,4.72037286599582e-07,1.66646003057616e-06,5.24012344183147,"DOWN"
"UBE2D2",0.263058897745372,5.36103477993444,5.11766914943813,4.7378603359407e-07,1.67228482988011e-06,5.23655658786181,"NOT"
"C19orf38",-0.538275887151567,1.77464714842224,-5.11747389520669,4.74247439156643e-07,1.67356432074443e-06,5.23561767668816,"DOWN"
"SLC35B2",0.49941296815014,5.82970733406729,5.11737507566828,4.74481125499163e-07,1.67403985082805e-06,5.23514249917425,"NOT"
"ZCCHC14",-0.450849032735505,3.70137402023519,-5.11709531380114,4.75143305023862e-07,1.67602665505707e-06,5.23379729741968,"NOT"
"L3MBTL4",-0.403919226105711,2.0066484724507,-5.11660767722824,4.76299650575972e-07,1.67975539545561e-06,5.23145270969094,"NOT"
"AKAP17A",0.395220667144601,4.35532822951015,5.114880884974,4.80416381850682e-07,1.69392073292256e-06,5.2231517652994,"NOT"
"SPAG7",-0.485088893131304,5.05680647666928,-5.11477220782041,4.80676620665225e-07,1.69419788431136e-06,5.22262942080951,"NOT"
"FAM241A",-0.424425100489183,1.8574130760989,-5.11476443726693,4.80695233294655e-07,1.69419788431136e-06,5.22259207289463,"NOT"
"ZNHIT3",0.326960581499079,2.90959859237278,5.11455346895179,4.81200827548048e-07,1.6956136111112e-06,5.22157810674023,"NOT"
"RCC1",0.480779865115969,4.03882441185873,5.11451322463826,4.81297333146215e-07,1.6956136111112e-06,5.2213846867529,"NOT"
"TMEM100",-0.942450688839757,1.41242629745852,-5.11426471943595,4.81893662112606e-07,1.6973610858883e-06,5.2201903645404,"DOWN"
"HOMER3",0.619439495344002,1.87482163285526,5.11280229454436,4.85417505268389e-07,1.70941719180987e-06,5.2131629498634,"UP"
"CPS1",-2.1067731154315,7.20315227229322,-5.11027110056759,4.91575670882278e-07,1.73074322243009e-06,5.20100394681611,"DOWN"
"MOGAT1",-0.482983022424451,0.81499506445036,-5.11005999646754,4.92092670592311e-07,1.73220305369097e-06,5.19999011356942,"NOT"
"RAI2",-0.708549531940686,2.00771070758397,-5.11000342970837,4.92231293510955e-07,1.7323306400788e-06,5.19971845642294,"DOWN"
"PRR7",0.705090501616623,2.00714173418384,5.10984108665099,4.92629342533681e-07,1.73337099293251e-06,5.19893883213779,"UP"
"TPRG1L",-0.534378756278132,6.38030513408083,-5.10763738516164,4.98063514478116e-07,1.75212738637925e-06,5.18835809859456,"DOWN"
"TRIM71",0.970569405033297,0.865425861531243,5.10678550667876,5.00179697260473e-07,1.75920612291508e-06,5.18426901328151,"UP"
"E2F3",0.529057634182861,2.73432989058398,5.1064623394876,5.00984763449434e-07,1.76167148427429e-06,5.1827179420355,"UP"
"VCP",0.301454172617735,6.36280759112436,5.10470787285393,5.05377381601127e-07,1.77674852983018e-06,5.17429872485542,"NOT"
"ABHD16A",0.229860157323662,0.547658748261774,5.10424693836532,5.06537581555983e-07,1.78045750259842e-06,5.17208724628632,"NOT"
"THOC6",0.416047982442254,4.5342273856305,5.10410900069066,5.06885279863275e-07,1.78130962005534e-06,5.17142548101605,"NOT"
"SLC25A5",0.493297898797322,8.66786413123066,5.10377837599192,5.0771962331284e-07,1.78384337338581e-06,5.16983935097353,"NOT"
"HES4",0.804957371353551,2.73696496203516,5.10373977438158,5.07817122486818e-07,1.78384337338581e-06,5.16965417055076,"UP"
"PNMA1",0.649925176667809,3.46734429020081,5.10330301504757,5.0892154362785e-07,1.78735189699603e-06,5.16755902589539,"UP"
"MSI1",1.24993513234367,1.6890733792837,5.10262970933383,5.10628668408128e-07,1.79297524343929e-06,5.16432947244664,"UP"
"SNCG",1.35849062816698,3.66332917138631,5.10158067712154,5.13299473410602e-07,1.80197933393793e-06,5.159298471727,"UP"
"LINC00634",0.237521461975735,0.226660653222643,5.10054797511763,5.1594190506112e-07,1.81088010278764e-06,5.15434667907071,"NOT"
"ZNF669",0.496603774009701,1.92539517957677,5.10033447612515,5.16489836532591e-07,1.81242731728908e-06,5.15332306444022,"NOT"
"EIF4A3",0.364159166290701,4.63381357486613,5.1000282017404,5.17276853602166e-07,1.81481269745019e-06,5.15185470689705,"NOT"
"SYN3",0.313808246631183,0.373928594722979,5.09923580373799,5.19318426239605e-07,1.82159765555563e-06,5.14805610950047,"NOT"
"ZNF532",0.462341607783952,1.5068178275852,5.09911471843136,5.19631082325899e-07,1.82231658943762e-06,5.14747569662154,"NOT"
"FAM214A",-0.447207526440657,2.73752890807852,-5.09900811306777,5.19906500331864e-07,1.82290466061241e-06,5.14696470226901,"NOT"
"DDX56",0.311636467256497,5.42418768787961,5.09803824063004,5.22418691220886e-07,1.83133347299536e-06,5.14231621938659,"NOT"
"TPP2",-0.371725246542765,3.35230622167871,-5.09795014745734,5.22647453716468e-07,1.83175591639113e-06,5.14189403794909,"NOT"
"TCTEX1D2",0.384150254006125,0.688758576656845,5.09618334413584,5.2725605391227e-07,1.84752530301295e-06,5.13342809360743,"NOT"
"COX5A",0.387113880177048,7.64642537146681,5.09527464678344,5.29641625961931e-07,1.85550019728817e-06,5.12907492057083,"NOT"
"GPATCH2",0.287262600718199,1.84461669640589,5.09428492005705,5.32251805044251e-07,1.86415288323158e-06,5.12433435006028,"NOT"
"GCNT2",-0.603278168626744,2.27271689941041,-5.09425465414582,5.3233182032829e-07,1.86415288323158e-06,5.12418939588751,"DOWN"
"P4HA3",-0.305142145099031,0.643974725995802,-5.0939750503686,5.33071571497912e-07,1.86635714076478e-06,5.12285031025001,"NOT"
"SYP",0.51759382640595,0.895160976155163,5.09390752377286,5.33250376526232e-07,1.86659694273901e-06,5.12252691985073,"UP"
"CAPRIN1",0.354772955577141,4.9973758899674,5.09367684536744,5.33861632390354e-07,1.86835008928173e-06,5.12142221058951,"NOT"
"SCRG1",-0.0574067109879747,0.0575182253146487,-5.09359445998772,5.34080102955126e-07,1.86872816834237e-06,5.12102768113633,"NOT"
"TRIM56",0.343597419495674,3.47190615970038,5.09289801867139,5.35930394766931e-07,1.8748145978605e-06,5.1176927680192,"NOT"
