"","Hugo_Symbol","High","Low","pval","or","ci.up","ci.low","adjPval"
"320","RPS6KA3",6,11,0.577667906900521,1.46274313343036,4.4645263365603,0.431238304861212,1
"321","COL11A1",4,15,0.607698266570792,0.690007887251702,2.24077309249334,0.162517240085539,1
"322","KMT2D",4,15,0.607698266570792,0.690007887251702,2.24077309249334,0.162517240085539,1
"323","RYR1",7,15,0.627728817654851,1.24539104189303,3.37298910687075,0.41558967988655,1
"324","MUC16",14,43,0.631097815159129,0.833724083577149,1.65207420020344,0.399728851594519,1
"325","SPTA1",5,18,0.634148899270812,0.717448705893198,2.08153923168745,0.202308014225726,1
"326","XIRP2",9,20,0.667138327192854,1.20268912163551,2.88973259722817,0.463997684475136,1
"327","ABCC8",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"328","AC006059.2",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"329","ADAMTS2",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"330","ALK",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"331","AMPH",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"332","ANK3",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"333","ANKRD11",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"334","ARAP3",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"335","ATP13A1",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"336","CACNA1S",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"337","CDH1",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"338","CUX1",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"339","DENND5B",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"340","DSE",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"341","EP300",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"342","FBN3",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"343","FLNB",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"344","FLRT2",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"345","FLT4",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"346","GPHN",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"347","GRM8",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"348","HGF",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"349","IGF2R",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"350","INSRR",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"351","KIAA0586",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"352","KMT2E",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"353","LRP4",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"354","LY75",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"355","MACC1",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"356","MAGEL2",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"357","MAP3K4",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"358","MED13",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"359","MISP",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"360","MRC1",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"361","MYH2",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"362","NLRP3",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"363","NRXN1",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"364","NTRK2",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"365","OR2J3",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"366","PBRM1",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"367","PDE1C",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"368","PDE6B",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"369","PLCB4",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"370","PPP1R3A",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"371","PRKG1",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
"372","RNF123",1,6,0.678626802643597,0.433814957082916,3.64710327979595,0.0093226300825471,1
