B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
BFSP1	1.6288524266528	1.69418148204391	1.65525291793566	1.77596006641846	2.00243997638149	1.63567652944272	1.69413621209447	1.92207319349853	1.72662810155194	1.98759608866762	1.85663382649936	1.77427343968059	1.78878612681583	1.73950327848296	1.86510658968647	1.84109263015493	1.77382884831965	1.69579776085599	1.85437094552994	1.90160146375538	1.71013594048271	1.7713093523064
BHLHE41	2.05073807113426	2.09039290799883	2.1542934997151	1.89045790922129	1.75912069092819	1.8213397379686	1.93420850154422	1.79461354582837	1.99024897152739	1.96501859518793	1.90590047398423	1.90601820701871	1.88372877259556	2.24660180550864	2.01144312499738	2.07890309523966	2.07959525571478	2.11699433220306	2.06075141680094	2.05923593634536	1.91166894110405	1.95139545491309
BIRC3	2.18864379041819	2.15972309142021	2.08732743331952	2.08875946667101	2.13077070805497	2.16243339005456	2.21520523221817	2.09475036237681	2.20656321567734	2.05479586200234	2.06842370124954	2.1651790574502	2.0209116161056	2.05197751181542	2.19484303829274	2.05431289305645	2.10159296523855	2.27636100417431	1.94222872303596	2.19429555302311	2.18256911965601	2.00417363617103
BLK	2.18946415703383	2.22177980694535	1.88138180365663	2.00658837326343	1.93717405672922	1.77195495984108	1.66643639596625	1.96641207156197	1.65011083605198	1.78398787199834	1.65958453751759	1.69664257443475	1.85480004812833	1.73780915583611	1.69002627919185	1.72525448928907	1.73520980064203	1.75033400307138	1.66890479955479	1.61779614153917	1.871009876784	1.65582089279629
BMP2K	2.06804408515937	2.04672173627622	1.98174554995186	1.99290808358622	1.98578101305121	1.88146834920042	2.01318839858972	2.04966172178312	1.95090933334227	1.99375056411971	1.98375490247034	1.99245207267264	2.08457378093261	2.0785425362416	2.12853869823353	2.15370614697977	2.09911886618568	2.12489097546626	2.21400891697487	2.20707118821337	2.14895484577464	2.12138361805546
BPI	1.66732238103543	1.72058654695457	1.73479000344369	1.93077144613993	1.87917669295586	1.70028945980077	1.56442048448867	1.73421474215337	1.67286431326527	1.77415916856118	2.14438636359957	2.02420623662705	2.06740312735868	1.73226716944613	1.74826255250844	1.81731828008591	1.71362475449193	1.73103448781846	2.15382008401206	2.14382054573534	2.0925510812678	1.92482922679483
BRAF	2.20914096221363	2.15386523696789	2.10904795716185	2.03056954117371	1.97810546141519	2.01844113461421	2.03040515603786	1.97916857128457	2.12188805118766	2.10131835105956	2.07242654650275	2.06069925066308	2.06303844880097	2.07599355864387	2.08852820303023	2.03626519814959	2.05174071826825	2.08655837858636	2.01724886177765	2.07322802405391	2.1506826529146	2.13482045928589
BRSK2	1.66688659964216	1.47808675590561	1.85552297375705	1.66718528246605	1.61154614510342	1.74480528327499	1.87674802095302	1.91288697137178	1.72932886497055	1.92631839960207	1.76440532906748	1.75489977110785	1.68906360737991	1.6555237769541	1.66834839609581	1.63513851855407	1.59985034563977	1.83194121777582	1.89301062442827	1.73735315432349	1.62000260233497	1.69066402638649
BST1	1.93260982491162	1.93651364843071	1.85338237370348	1.93853195905457	2.00171797114015	1.93669389960297	1.94307910084692	1.92753269028356	1.88783042461279	2.07827788063085	2.01603680198497	1.96210975320195	2.18202682019924	2.09254188498937	1.94593308703275	2.04401066215311	2.01770989241935	1.98980134924518	2.09908927749233	2.10182398628008	1.66158020449959	2.18825895612546
BTNL8	1.73450892593681	1.71079734580856	1.65595810985429	1.71379392844435	1.80082007696331	1.75722087781696	1.78764443133425	1.74934553233464	1.85862508739385	1.88723165119803	1.68574542013881	1.71664012530491	1.77943036091776	1.81600938326879	1.76757694688902	1.6716427723503	1.74737501328004	1.77045045770427	1.70895512349318	1.7497314572024	1.97668685502411	2.1591738421209
