Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-K7-A5RG	0	0.0370373402604638	0	0.0515861633270099	0.014531021127264	0	0.149799693321242	0	0.0389394589615455	0.112782575545921	0.0531872293756409	0.028863665658887	0.0960696032700298	0.125805539808496	0.0906968646273598	0	0.0738996047834903	0.0304228900318422	0.0963783499008089	0	0	0	0	0.164557101924556	1.136505713959
TCGA-DD-A4NR	0	0.0932658042423873	0	0.00157283242110575	0.0884518980240388	0.0116900102450759	0.129476545548405	0	0	0.127006866412769	0	0.073711372233571	0.0932226749330344	0.172596853568702	0.068324037930279	0	0.0969588439714796	0.0133414039072539	0.0303808565618981	0	0	0	0	0.14839876780581	1.1509823771907
TCGA-FV-A4ZP	0	0	0	0.0093812428751498	0.0748190508426633	0	0.197968212403795	0.0142402712374202	0	0.0450208182429138	0	0.0674455138096564	0.156645080982955	0.0984523274902459	0.0755683302496791	0.074382602629822	0.0925311375762966	0	0	0.0935454116594027	0	0	0.076	0.0714153860801737	1.20340323753762
TCGA-DD-AACW	0	0.0994988652018245	0	0	0.010868406519312	0.00576522905501251	0.0683822645065602	0	0.0141682102167266	0	0.107548019593832	0.0532249593805354	0.33066644237934	0.0585213959876661	0	0	0.117086671347287	0.0139389979714487	0.120330537840455	0	0	0	0.271	0.0411102216583616	1.23287570609586
TCGA-DD-A1EC	0	0.0139316691874924	0	0.0574262584101652	0.0309668840161959	0	0.16812124963418	0	0	0.277658499791103	0.0324221597737049	0.0997074075303392	0	0.0899297083278509	0.0984546471090046	0	0.109211717041305	0.00336837307111797	0	0.0188014261075415	0	0	0	0.160263367007873	1.14940133222758
TCGA-WJ-A86L	0	0.0117412366400618	0.0218739249703286	0	0.107600672903125	0	0.104923302156489	0	0.0666696326559747	0	0.00852613966687763	0.161714520744842	0.188237378534296	0.202480530197013	0	0	0.120100506148993	0	0	0.00613215538199858	0	0	0.513	0.0160615747417244	1.23760896586165
TCGA-DD-AAEK	0	0.0715301198153513	0	0.0280384585441965	0.0763401904163418	0	0.17680382467291	0	0	0	0.114403325576059	0	0.0509256951010643	0.0759706303739065	0.102300937242774	0	0.190204350809722	0	0.113482467447675	0	0	0	0.183	0.0511141095628165	1.20814999643533
TCGA-FV-A4ZQ	0	0.141018376948976	0	0.00232018950190498	0	0	0.166041874627171	0.0583579980683943	0.0405861564191031	0.124140369285857	0.045344163054945	0.0323327647510568	0.236344505331657	0.0741716643003076	0.0299437831044686	0	0.0453213055350141	0	0	0.0040768490711449	0	0	0.039	0.0843088560916031	1.19607370730644
TCGA-5C-A9VH	0	0	0	0	0.181059019161111	0.0181565678211861	0.0976784924049444	0	0.0148305241459981	0	0.023164207912336	0.109110643248551	0.118569675609154	0.165028732051715	0	0	0.145165950003173	0.0721942671394281	0.0550419205024029	0	0	0	0.522	0.0148092937953904	1.23245517666144
TCGA-DD-AACA	0	0	0.0236571911785277	0.150599614184129	0.0984674704374131	0	0.156696133658844	0	0.00739060908238284	0	0.0651583962600443	0.018557895681622	0.128561575019554	0.0329327602363996	0	0.0388361352004943	0.104353442425588	0.100926442141397	0.0738623344936046	0	0	0	0.545	0.0124268854793829	1.23567698160173
TCGA-FV-A2QQ	0	0.0238280189406572	0	0	0.0689350721961284	0	0.168094668373407	0	0	0	0.177130353349937	0	0.160635113788134	0.0980894757517363	0.0949662115074927	0	0.172909334879138	0	0	0.035411751213369	0	0	0.389	0.0288297050788459	1.23140294470649
TCGA-2Y-A9GX	0	0.134379199100488	0	0.00884242773268433	0.110957418548141	0	0.0731061969210654	0	0.0563193313346409	0	0.0119387235967767	0.0400853215071084	0.102287940734672	0.17501141331588	0	0	0.169975135416102	0.0948070194531115	0	0.0222898723393298	0	0	0.012	0.102035239109493	1.18783285888136
TCGA-G3-AAUZ	0	0.0745677780600699	0	0	0.119117799947974	0	0.0852236705373411	0	0.0295100667046846	0.0168080371251248	0.158369943817723	0	0.169776690241501	0.0601881716945511	0.0595596378302969	0	0.192852442972691	0	0	0.0340257610680423	0	0	0.27	0.0412593456947402	1.21402922438319
TCGA-DD-AACK	0	0.00853215199374042	0.0132972980395853	0	0.0664697918156479	0	0.158122239392606	0.00365396371659626	0.1089843914165	0	0.130061675612493	0	0.226789178691267	0.126153249801394	0	0	0.0723780415011093	0.0440645537630424	0.0291066480098917	0.0123868162461276	0	0	0.601	0.00339814684791292	1.23492110353111
TCGA-DD-A3A5	0	0.0127565438596981	0	0	0.209215644674916	0	0.110614604614047	0	0	0.0400377858573372	0	0.0552971263491288	0.258434531669179	0.0459344866216327	0.0234585242933615	0	0.0965065909100774	0.0276893231144529	0.120054838036169	0	0	0	0.258	0.0426595270705881	1.20937878849661
TCGA-DD-AACY	0	0.161031953552558	0	0	0.0413237177292438	0	0.0336164312505203	0.0831623784968167	0.0484324674739331	0	0.196127944667947	0	0.140142219385157	0.13966158737537	0	0.0287237110487725	0.0909105748655992	0	0	0.0368670141540831	0	0	0.509	0.0164634467377402	1.22996463058514
TCGA-BD-A3EP	0	0.23360983875757	0	0.0238956210464214	0.0795913052969581	0	0.0829443012501176	0	0.0767515914800675	0	0.00995620720248732	0.0260473903555383	0.153149462481887	0.0663042829748479	0	0	0.149404797677282	0.0686780192590029	0	0	0.0296671822178199	0	0.075	0.0717918008548776	1.20408607160245
TCGA-BC-A10Q	0	0.130748828300767	0	0	0.130070611171691	0.0484480464663158	0.0755998248501526	0	0.0319781533808363	0	0	0	0.217103003374462	0.0783104888745875	0.0465463176911181	0.0324970456001826	0.178038047885743	0	0.0306596324041444	0	0	0	0.419	0.0258384380951817	1.2359941845654
TCGA-CC-A7IF	0	0	0	0	0.077191348585246	0	0.183261082324144	0	0	0	0.0580029916220395	0.0776775425654495	0.286127770931577	0.0968672700742802	0	0.00821234761653282	0.0997108422320803	0.0402293747867319	0.0727194292619188	0	0	0	0.12	0.0615948304811127	1.21399071764029
TCGA-DD-AADY	0	0	0.00729477311619449	0	0.167981642798989	0	0.129339374199067	0	0	0	0.0347944601683019	0.160454174389045	0.186241474729775	0.0304293291687812	0	0.0223865450174222	0.20226885256966	0.0588093738427637	0	0	0	0	0.59	0.00569448973392326	1.24144313491421
TCGA-DD-AACI	0	0.0760400361279504	0	0.0227540151733811	0.111551292815805	0	0.0627491029598369	0.0411632294979111	0.0253669005806179	0.0450636491662169	0.0970172625117444	0.0639722927428217	0.114047804514001	0.161103484241754	0.0667432778786427	0	0.0494977293129506	0.0516246397871691	0	0.0113052826891973	0	0	0.264	0.0423012092117507	1.21234132918148
TCGA-CC-A7IH	0	0.00259336835729757	0	0.0902365825496485	0.14863134410934	0	0.194725001143944	0	0	0	0.053739577877246	0.000953940948721188	0.0996482476188947	0.0738139835794618	0	0.135797494260293	0.0157283844879087	0.00501450868122605	0.179117566386018	0	0	0	0.752	-0.0177348562182012	1.24407553834876
TCGA-UB-AA0V	0	0.0403707857507558	0	0	0.112656935898355	0	0.108333684542603	0	0.00727244488846319	0	0.13448098913891	0	0.296092534351614	0.0725272110319869	0.025169125044567	0	0.145904940077815	0	0.0571913492749289	0	0	0	0.27	0.0413637999527719	1.22387376133932
TCGA-DD-AAEB	0	0.00731992774192194	0	0.110464042800902	0.129816651440893	0	0.140537141115571	0	0	0	0.133894902860907	0	0.0981673992339929	0.0684015341417155	0	0.0991685581218912	0.146320429026164	0.0659094135160416	0	0	0	0	0.488	0.0196183129454581	1.23572521175357
TCGA-DD-AAEH	0	0.0387191843492358	0	0.0157444045038029	0.0837972914292675	0.0265591752660845	0.192716031552581	0	0.0262055379575027	0.050471147619268	0.170984619860667	0	0.122180080970869	0.0703823813214394	0.0651303886536318	0	0.13710975651565	0	0	0	0	0	0.136	0.0587630658678439	1.20821264572954
TCGA-CC-A8HS	0.00595250143987434	0	0	0	0.0889283141296812	0.0840396553471839	0.122792735746186	0	0	0	0.212119584323868	0	0.224385747687156	0.141173088728042	0	0	0.114026611247553	0	0.00658176135045573	0	0	0	0.51	0.016424125265213	1.24695444680066
TCGA-MR-A8JO	0	0.0939022911874365	0	0	0.0927162396245479	0	0.124493960123674	0	0.00411455629202869	0	0.201643744479632	0.0151036524901406	0.0684814293085314	0.217413975529209	0.00836211493157828	0	0.162202489879995	0.00472961934090941	0	0.00683592681231766	0	0	0	0.123564903789955	1.17357694249661
TCGA-DD-AACV	0.0253984480203051	0	0.152839871837795	0	0.109881592213644	0	0.0641874321519019	0.0361787935903996	0	0.0257333703342034	0	0.084534910098452	0.107745045663466	0.0551273024921332	0	0.0111246833928877	0.212005507450805	0.0776338025207039	0.0376092402333034	0	0	0	0.624	-0.000307686423670711	1.23669188677052
TCGA-ED-A7PZ	0	0	0.084349733289209	0.0235047840333208	0.0681978215537449	0	0.213456727235672	0	0.0372899560276938	0	0.0956548014709923	0	0.180668233022812	0.132704067328854	0	0.116245901299379	0.0135650975344876	0	0.0343628772038352	0	0	0	0.418	0.0260455432925007	1.22436770151228
TCGA-EP-A12J	0.0429840168180965	0	0.00512354373480329	0.00891054439227675	0.0479075237580607	0	0.0387280975910517	0	0	0.159234245260455	0	0.0991994288606947	0.215279726741802	0	0.0950474517212122	0	0.00937854322429454	0.119801706483702	0.158405171413551	0	0	0	0.306	0.0371689407961194	1.21502074265538
TCGA-2Y-A9H3	0	0.158136164569496	0	0.0911719797408742	0.091853490774202	0.0145009929205941	0.0672606301735919	0	0	0.075207839620393	0	0.000388972139800429	0.101736779650409	0	0.0679440741937428	0.0788249972387189	0.136193603567187	0	0.080923931605462	0	0.0358565438055296	0	0.167	0.0538482257543849	1.20424679402992
TCGA-FV-A3I0	0	0	0	0.0185108592408082	0.133191861304301	0	0.127081199393732	0.0275479861502045	0.0451476240208853	0	0.0642351723184174	0	0.261778377583505	0.168545308115931	0	0.0499531509518751	0.0462014940116538	0	0.0578069669086877	0	0	0	0	0.153578989413243	1.14929557001803
TCGA-DD-AADI	0	0.0685875486112291	0	0.0564456175704132	0.158171662302692	0	0.136542591141306	0	0	0.025949895080792	0.102168445850221	0	0.134709364801936	0.0249847956299209	0.0369003467103268	0	0.237913072929245	0.0176266593719176	0	0	0	0	0.21	0.0473384118929125	1.21595196947187
TCGA-DD-A4NS	0	0.0736258470823527	0	0	0.13339713368227	0	0.126002669890211	0	0	0.0353418233774945	0.0916275817770209	0	0.155646847967802	0.215081326970165	0.0150266014253507	0	0.117738544585824	0	0	0.0365116232415086	0	0	0.042	0.0821650898149845	1.19829211248533
TCGA-2Y-A9HA	0	0	0	0	0.128679350750144	0	0.188986198179342	0	0.00752254048539782	0	0.095882019787081	0.0273885385661923	0.156811752703062	0.185069781163782	0.0190982417977079	0.0297728117998736	0.122491168476113	0	0.0382975962913036	0	0	0	0.18	0.0515293428170407	1.21626844663395
TCGA-DD-AACG	0	0.0831995450163698	0	0	0.0702460191723318	0.0326419835221099	0.116801365279676	0	0	0.04616675583567	0.0628368017343183	0.0531131855384581	0.22483344690546	0.102221466551617	0	0	0.192092570040349	0	0.0158468604036402	0	0	0	0.084	0.0688695775224974	1.2121269767462
TCGA-DD-A73A	0	0.112590129251721	0	0	0.0717428961797783	0.0827084292163681	0.0410140760420109	0.020965223802178	0.0382474691092839	0	0.161586555532662	0	0.20250948194631	0.0299376132992745	0	0	0.232040519467855	0	0	0.00665760615255802	0	0	0.471	0.0211460547729101	1.23772348023048
TCGA-KR-A7K7	0	0.0402221561699154	0	0	0.00448154876236072	0	0.170774134176488	0	0.0159759712159415	0.0502902378595558	0.218858498915881	0	0.140322331787171	0.139923731723247	0.0927184955069852	0	0.0376517290338451	0	0	0.0887811648486092	0	0	0.374	0.0313852375410979	1.22665759293108
TCGA-QA-A7B7	0	0.0230585250883205	0	0.048047392097785	0.0418742537805176	0	0.163223434360105	0	0.108223184787632	0	0.167976148889566	0	0.170162644444398	0.116192261944696	0	0	0.055020179107964	0.0393219883226459	0.0668999871763701	0	0	0	0.905	-0.0542317451982504	1.26737157401268
TCGA-BC-A110	0	0.0819481951187012	0	0	0.112100849448022	0	0.14463837511452	0	0.0704510416269903	0	0.0609319545866808	0	0.198047829796477	0.0509877580157716	0.0733591241326622	0.00677584740481855	0.140735137285875	0	0	0.0562404972089386	0.00378339026054292	0	0.213	0.0470039962315974	1.20850171008952
TCGA-UB-A7ME	0	0.115684071488574	0	0	0.0837138511051017	0	0.0829079340835414	0.0584411359826706	0.0432656679829411	0	0.0702842386690723	0.0749508569208773	0.114657679821698	0.0966038087420305	0.0903033530594968	0	0.101585967906417	0.0676014342375791	0	0	0	0	0.045	0.0806451599063028	1.19048475448832
TCGA-G3-AAV2	0	0.128686906932019	0	0	0.0792463233389616	0.0537473159674436	0.130458697343739	0	0	0	0.0970647641157367	0	0.155008358344466	0.00961140411046846	0.0378619461811937	0.121943550086621	0.0723761982754279	0	0.113994535303924	0	0	0	0.512	0.0161960989538823	1.22689353271559
TCGA-DD-A39X	0	0.0404480569849398	0	0	0.211417151041998	0	0.139378581582761	0	0	0	0.0323270791272593	0.0206740952775015	0.226801655915909	0.0755211057751181	0	0	0.236060118943792	0	0	0.0173721553507213	0	0	0.282	0.0395522589952652	1.22602009006938
TCGA-DD-AAD3	0	0.15475775033412	0	0	0.11236073085071	0	0.0477548104842659	0	0.0579270699607582	0	0.021843231591461	0.0681103861135511	0.103679131671988	0.0595296539695228	0	0	0.171681538863396	0.181958182598842	0.0203975135613848	0	0	0	0.547	0.0122818277283355	1.2372024896205
TCGA-FV-A3R2	0	0	0	0	0.00343488276621696	0	0.126294819739315	0.00727644068592942	0.0860925408070826	0	0.217811359164582	0	0.299287943358272	0.120764805700312	0.0316235226397784	0	0.080168487202763	0.0141081756857049	0.0131370222500432	0	0	0	0.214	0.0469169786193038	1.2235043824794
TCGA-2Y-A9H7	0	0.0541272762888517	0	0	0.0944745675915379	0.0185701290515902	0.123769990572855	0	0	0.0197724509604026	0.0630059094710787	0.0386436261048998	0.241656178962171	0	0	0	0.234641395137263	0.0859327732517618	0	0.0254057026075895	0	0	0.379	0.0301637354529394	1.2335048896087
TCGA-ED-A7XO	0	0.145003545310253	0	0	0.149437736847686	0	0.108022701826569	0	0	0.0730240572636022	0.00648601077596825	0	0.217983421910555	0.0394584279198436	0.056656233111812	0	0.17534030078827	0	0	0.0285875642454412	0	0	0.11	0.0639691135762198	1.20663801418532
TCGA-DD-AAVZ	0	0.040960797955827	0	0	0.150519384636472	0.0279040257281448	0.110034755263766	0	0	0	0.0111805657197206	0.112073539464255	0.148005055267696	0.145871946225426	0.0111049748931581	0.00658731523074298	0.120858689129176	0.0454760082241203	0.0694229422614952	0	0	0	0.502	0.0172349492816388	1.23202562191716
TCGA-ZP-A9CZ	0	0.0875131475190009	0	0	0.0504824904228206	0.00246011200055534	0.108146077887214	0	0.0139710345594803	0	0.167832267465411	0	0.202274297900375	0.0844998717855493	0.0459152659374442	0	0.182510050121913	0.00308868927758462	0.0513066951226522	0	0	0	0.039	0.0836998470283906	1.19692965359752
TCGA-G3-A5SI	0	0	0.0463213144200505	0	0.1296919549528	0	0.138995477075471	0	0.0393880108217868	0	0.117958147077996	0	0.281773939686297	0.125233229225874	0	0.0366576481035498	0.0839802786361745	0	0	0	0	0	0.951	-0.072495215184367	1.28769667478539
TCGA-MR-A520	0	0.0245287568270992	0	0.021817390934204	0.0899809664484568	0	0.097023254963491	0	0.0429483293534325	0	0.100268792911718	0	0.146049458330216	0.120312748404664	0.0108189419212447	0	0.214176994483427	0	0.132074365422047	0	0	0	0.658	-0.00351218429665285	1.24195142814101
TCGA-BC-A10U	0.0174940742314205	0	0	0	0.19510612371577	0	0.0322122172097885	0	0	0.0483553314390506	0	0.11032794594393	0.0340985861822642	0.226995867353056	0.0653222092510001	0.0884074143033774	0.12660577654802	0	0.055074453822323	0	0	0	0.252	0.0433174105397808	1.21571977247258
TCGA-G3-A25Z	0.0056535568588642	0	0.0129938074936463	0	0.125668784427318	0	0.112172548118013	0.048540580416819	0.0231489406238249	0	0.177260003742484	0	0.191781239987338	0.104516019541064	0.000844395048355915	0.0091709553608431	0.179803457252313	0	0.00844571112911696	0	0	0	0.5	0.0174990038322653	1.23098028878543
TCGA-DD-A39V	0	0.013555904472494	0	0.0112654286388747	0.0498181851857562	0	0.174062619716374	0	0	0.0644306119359875	0.144353431300131	0	0.130053533519022	0.0406483576089433	0.14873523483372	0	0.152144782238769	0	0	0.0709319105499269	0	0	0.054	0.076559697811323	1.19698336308491
TCGA-DD-A4NA	0	0.128221382680234	0	0	0.184237703848042	0	0.0487069656373463	0	0	0	0	0.165454835367913	0.00353394220682019	0.196805209696826	0.0392228433777597	0.15820994117149	0.039123966854372	0	0.0364832091591969	0	0	0	0.054	0.0765160375446148	1.19228620760438
TCGA-FV-A3I1	0	0.114680258129263	0	0	0.0848231086589378	0	0.107273604004606	0.0140986866054195	0.0599316218317782	0	0.144402570997381	0	0.142547930082163	0.165431576065102	0	0	0.166810643625349	0	0	0	0	0	0.224	0.0461170539695556	1.21715191912408
TCGA-DD-A4NL	0	0	0	0.0496926159862193	0.130984470298832	0	0.0927501427893233	0	0	0	0.000887238036941705	0.077019857192407	0.191239724328743	0.153560178395602	0	0.0397312115648768	0.146794591918835	0.0611090420031677	0.0562309274850522	0	0	0	0.378	0.0301883022002183	1.23416713074522
TCGA-DD-A4NQ	0	0	0.0247048285070787	0	0.0838371998243891	0	0.146147576642371	0	0.113449854767495	0.000180722826261964	0.0428103688789365	0.00700599812822631	0.124853626804634	0.346477729214732	0	0	0	0.0881099098947311	0.0224221845111441	0	0	0	0.042	0.0819779695253162	1.20146260863885
TCGA-CC-A7IJ	0	0.019924466707288	0	0	0.0764462163015277	0	0.192030168905957	0.00189494052367525	0	0.134058362173549	0.0794193034954845	0	0	0.133581220285595	0.085578981090227	0.0176555497019721	0.0695820153791235	0.0676291409883757	0.122199634447225	0	0	0	0.722	-0.0127399661703901	1.23921974735043
TCGA-LG-A6GG	0	0.000535547811589045	0	0	0.155499902493137	0	0.140303284230694	0	0.0482448061330671	0	0.0529944327103264	0	0.187924700802001	0.0919226636417141	0	0.0122431274369814	0.179980552793752	0.0494884086628327	0.0808625732839048	0	0	0	0.325	0.0353671110574724	1.21643768418228
TCGA-CC-A123	0.0352007054892245	0	0	0	0.0864448481315377	0	0.120022960818017	0	0.0115864884318384	0	0.0046056880955235	0.0937643717161625	0.225198134590961	0.189883201332426	0	0.0734247243857469	0.104146702386043	0.0257180116581811	0	0.0300041629643377	0	0	0.086	0.0682145735908012	1.21808679627197
